@relation BillNyeTheTestingGuy4.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
416,48,192,88,334,26,-1857,64,0,2129,0,accepted
304,96,72,80,288,72,-1824,88,0,1928,0,accepted
336,104,88,96,304,64,-1912,112,0,2056,0,accepted
224,80,417,88,265,87,-1920,95,0,2064,0,accepted
336,80,63,97,216,96,-1631,80,0,1719,0,accepted
353,79,625,95,217,71,-1864,79,0,1960,0,accepted
465,87,176,79,233,88,-1911,103,0,1959,0,accepted
368,89,97,87,592,80,-2136,80,0,2191,0,accepted
336,96,81,71,248,88,-1464,120,0,1568,0,accepted
432,72,80,80,288,88,-1632,80,0,2024,0,accepted
352,95,48,96,208,96,-1632,96,0,1856,0,accepted
224,128,72,96,200,96,-1312,112,0,1424,0,accepted
241,88,72,87,192,104,-1240,88,0,1280,0,accepted
297,80,56,95,256,88,-1384,120,0,1424,0,accepted
353,95,32,87,217,104,-1344,71,0,1424,0,accepted
257,95,49,87,192,103,-1273,97,0,1296,0,accepted
233,71,24,111,161,104,-1080,95,0,1120,0,accepted
256,88,32,96,225,95,-1217,96,0,1240,0,accepted
289,47,49,79,185,87,-1205,100,0,1240,0,accepted
288,72,24,88,192,96,-1184,112,0,1199,0,accepted
480,104,64,80,184,104,-1424,112,0,1439,0,accepted
344,91,48,96,216,104,-1400,104,0,1432,0,accepted
264,80,32,88,176,112,-1160,88,0,1184,0,accepted
288,72,40,64,152,120,-1152,104,0,1224,0,accepted
216,96,32,88,144,120,-1208,112,0,1248,0,accepted
216,72,33,72,168,127,-1123,115,0,1160,0,accepted
225,79,32,79,168,120,-1072,88,0,1168,0,accepted
216,87,23,105,160,136,-1160,120,0,1200,0,accepted
201,87,33,63,144,119,-1064,104,0,1176,0,accepted
209,111,89,87,193,119,-1288,119,0,1328,0,accepted
240,72,32,88,152,136,-1127,111,0,1199,0,accepted
161,102,40,88,160,104,-1047,111,0,1085,0,accepted
216,88,40,88,168,96,-1096,96,0,1135,0,accepted
200,72,24,88,136,128,-1064,120,0,1080,0,accepted
176,88,40,88,120,120,-1040,104,0,1104,0,accepted
120,88,128,88,105,136,-1120,103,0,1296,0,accepted
296,104,56,96,200,120,-1320,112,0,1360,0,accepted
288,72,40,88,152,120,-1192,112,0,1256,0,accepted
176,96,9,96,168,119,-1064,80,0,1168,0,accepted
249,72,24,87,153,112,-1104,95,0,1168,0,accepted
272,95,17,88,120,143,-1160,112,0,1256,0,accepted
233,71,72,95,193,120,-1192,87,0,1248,0,accepted
209,111,89,87,193,119,-1288,119,0,1328,0,accepted
184,64,48,40,125,123,-1016,96,0,1047,0,accepted
192,80,41,79,121,127,-1081,104,0,1104,0,accepted
144,80,136,104,249,111,-1256,104,0,1303,0,accepted
256,96,41,47,168,96,-1112,80,0,1176,0,accepted
264,96,48,88,144,128,-1224,104,0,1255,0,accepted
248,104,24,96,192,72,-1144,80,0,1160,0,accepted
203,103,71,83,159,102,-1325,84,0,1125,0,accepted
% Denied data: variations of the originals
489,128,-138,60,366,149,-2109,60,0,2158,0,denied
67,51,355,120,-3,56,-623,131,0,618,0,denied
445,120,310,115,-15,53,-2098,61,0,2130,0,denied
101,57,-189,53,39,67,-540,135,0,686,0,denied
426,117,-216,50,348,144,-2025,64,0,2139,0,denied
53,48,338,118,23,63,-547,135,0,2184,0,denied
37,45,-143,59,-8,55,-1971,67,0,2118,0,denied
444,120,-145,59,-20,52,-695,128,0,1981,0,denied
485,128,-147,59,389,154,-752,125,0,2256,0,denied
107,58,274,110,401,157,-518,136,0,639,0,denied
429,117,-157,57,37,66,-533,135,0,2106,0,denied
75,52,310,115,-1,57,-1926,69,0,720,0,denied
468,125,273,110,374,151,-1992,66,0,700,0,denied
61,50,-153,58,345,143,-516,136,0,724,0,denied
430,117,332,117,48,69,-644,130,0,529,0,denied
486,128,317,115,401,157,-1964,67,0,690,0,denied
450,121,330,117,-18,52,-2025,64,0,612,0,denied
436,119,269,110,342,143,-492,137,0,2235,0,denied
440,119,364,121,368,149,-1885,71,0,2197,0,denied
87,54,-173,55,350,145,-2038,64,0,478,0,denied
454,122,-172,55,-17,53,-603,132,0,483,0,denied
83,54,289,112,398,157,-2063,62,0,511,0,denied
85,54,310,115,23,63,-489,137,0,1999,0,denied
455,122,315,115,24,63,-526,136,0,2055,0,denied
70,51,-176,55,357,146,-1917,69,0,2029,0,denied
66,51,314,115,4,58,-1957,67,0,702,0,denied
96,56,-157,57,386,154,-1861,72,0,562,0,denied
469,125,-194,53,366,149,-738,126,0,1986,0,denied
42,46,-154,58,8,59,-507,137,0,472,0,denied
35,45,312,115,388,154,-1980,66,0,2097,0,denied
72,52,-220,50,369,149,-1874,71,0,2016,0,denied
96,56,320,116,28,64,-2005,65,0,587,0,denied
486,128,281,111,348,144,-528,136,0,757,0,denied
436,119,318,116,4,58,-2003,65,0,517,0,denied
436,119,-141,59,19,62,-611,132,0,2140,0,denied
94,56,366,121,0,57,-1954,68,0,2225,0,denied
107,58,274,110,366,149,-613,131,0,513,0,denied
106,58,356,120,350,145,-2004,65,0,555,0,denied
45,47,319,116,365,148,-2021,64,0,546,0,denied
80,53,-157,57,343,143,-1978,66,0,2007,0,denied
469,125,-217,50,381,152,-1937,68,0,695,0,denied
427,117,-204,52,393,155,-552,134,0,2095,0,denied
427,117,348,119,371,150,-630,131,0,582,0,denied
469,125,-160,57,352,145,-727,126,0,2060,0,denied
103,57,-220,50,6,59,-2097,61,0,2164,0,denied
61,50,278,111,361,147,-562,134,0,2022,0,denied
66,51,282,111,367,149,-2069,62,0,539,0,denied
55,49,-142,59,10,60,-601,132,0,621,0,denied
438,119,272,110,39,67,-631,131,0,2171,0,denied
458,123,-170,56,385,153,-2043,63,0,593,0,denied
454,122,359,121,32,65,-713,127,0,2055,0,denied
102,57,294,113,396,156,-1921,69,0,630,0,denied
51,48,-149,58,20,62,-1952,68,0,2100,0,denied
75,52,335,118,373,150,-2040,64,0,478,0,denied
72,52,-218,50,354,146,-2012,65,0,2221,0,denied
484,127,-208,51,-7,55,-1858,72,0,614,0,denied
455,122,-183,54,42,68,-1866,72,0,2093,0,denied
53,48,290,112,5,58,-2124,60,0,730,0,denied
458,123,291,112,20,62,-615,131,0,2227,0,denied
86,54,282,111,32,65,-639,130,0,2035,0,denied
476,126,282,111,12,60,-563,134,0,658,0,denied
108,58,289,112,-3,56,-1960,67,0,2281,0,denied
37,45,323,116,384,153,-1863,72,0,665,0,denied
