@relation specialChris.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute flightTime10 numeric
@attribute dwellTime10 numeric
@attribute flightTime11 numeric
@attribute dwellTime11 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
-128,160,-80,184,-520,104,735,593,-96,160,-96,176,-696,136,496,752,-88,160,-128,184,-64,152,0,120,0,accepted
-96,176,-56,136,-551,95,440,904,-112,208,-113,152,-79,152,585,120,-239,351,-832,319,-111,856,0,136,0,accepted
-96,208,-80,192,-1496,112,328,1608,-103,264,-96,143,-88,128,688,112,-104,224,-64,160,-2820,120,0,2900,0,accepted
-120,215,-88,192,-568,112,264,592,-87,177,-104,143,-72,144,592,104,-79,152,-105,160,-576,112,0,632,0,accepted
-760,176,-136,784,-80,160,248,96,-88,176,-88,120,-104,136,840,136,-136,184,-113,185,-1933,113,0,2076,0,accepted
-56,208,-751,95,-168,760,264,168,-112,216,-104,144,-96,152,496,136,-104,160,-88,160,-1604,119,0,1709,0,accepted
-111,184,-72,152,-816,72,312,888,-104,183,-79,136,-112,127,481,160,-144,175,-104,192,-1749,137,0,1884,0,accepted
-104,216,-88,160,-496,112,224,576,-104,200,-112,152,-72,128,504,120,-144,184,-104,200,-640,168,0,848,0,accepted
-136,248,-104,200,-512,120,280,568,-112,248,-135,207,-55,151,568,128,-64,184,16,176,-816,160,0,992,0,accepted
-137,240,-80,184,-1207,104,1105,1215,-87,200,-103,103,-64,127,368,128,-119,216,-96,167,-2765,104,0,2861,0,accepted
-104,192,-856,192,-88,872,376,112,-88,184,-128,168,-88,144,424,144,-112,192,-104,200,-1861,152,0,1909,0,accepted
-104,184,-96,160,-896,104,400,912,-111,199,-120,160,-80,144,399,120,-104,153,-104,176,-1781,136,0,1844,0,accepted
-128,208,-72,152,-440,96,200,480,-120,224,-104,144,-88,136,568,136,-112,184,-120,184,-632,144,0,688,0,accepted
-168,232,-79,207,-968,104,296,1088,-96,184,-104,144,-80,136,409,103,-104,168,-96,160,-1837,128,0,1917,0,accepted
-104,191,-88,137,-1216,104,313,1223,-103,175,-80,135,-88,128,417,112,-95,143,-111,175,-1972,127,0,2044,0,accepted
-128,224,-95,152,-552,103,201,664,-105,184,-104,152,-104,144,360,144,-119,184,-104,167,-511,112,0,592,0,accepted
-112,200,-96,160,-888,104,232,920,-96,176,-104,144,-72,136,400,112,-128,168,-104,168,-1565,112,0,1741,0,accepted
-120,176,-80,168,-1128,104,200,1152,-120,208,-103,143,-72,128,544,128,-121,217,-105,177,-1997,120,0,2110,0,accepted
-112,200,-88,152,-815,103,217,895,-111,191,-87,143,-80,120,335,136,-103,160,-95,167,-1492,103,0,1653,0,accepted
-127,232,-95,167,-904,111,192,913,-95,199,-103,135,-63,119,409,119,-128,191,-128,224,-1621,137,0,1708,0,accepted
-136,184,-105,177,-1056,105,256,1079,-112,184,-120,168,-72,136,400,112,-112,208,-112,176,-1828,136,0,1908,0,accepted
-824,176,-136,864,-89,153,176,96,-88,160,-112,144,-88,136,352,136,-120,168,-112,176,-1437,120,0,1517,0,accepted
-128,224,-88,168,-840,104,184,864,-80,152,-121,136,-87,128,584,120,-105,161,-120,168,-1621,136,0,1653,0,accepted
-120,168,-976,153,-80,992,191,80,-80,177,-40,176,88,167,328,97,-72,167,-112,144,-1852,128,0,1884,0,accepted
-800,169,-113,816,-89,113,161,104,-104,175,-104,128,-96,136,297,136,-96,135,-112,168,-1284,128,0,1308,0,accepted
-112,224,-800,136,-104,825,175,104,-80,160,-104,128,-64,120,657,103,-96,176,-1653,152,-136,1669,0,144,0,accepted
-752,145,-129,784,-88,137,161,95,-104,184,-95,119,-72,120,560,120,-96,160,-95,160,-1533,111,0,1573,0,accepted
-792,169,-128,807,-80,144,208,88,-88,168,-88,120,-81,121,312,104,-152,240,-87,200,-1428,119,0,1468,0,accepted
-96,216,-808,128,-104,832,232,104,-120,160,-113,153,-88,144,280,112,-103,152,-104,159,-1316,120,0,1364,0,accepted
