@relation M@u123!.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute class {accepted,denied}

@data
% Accepted data
91,131,-917,135,273,1016,583,105,-51,122,-44,151,-1791,121,-131,2468,0,139,accepted
164,113,-658,137,226,770,236,91,-31,146,-48,148,481,136,-324,127,0,331,accepted
126,110,-561,115,178,633,201,94,-45,111,-52,149,220,131,-118,344,0,129,accepted
668,114,-1205,131,241,1236,536,106,-46,120,-67,188,455,122,-345,128,0,361,accepted
205,105,-844,138,220,891,310,111,-47,146,-72,217,224,152,-147,347,0,160,accepted
106,117,-639,131,141,692,182,99,-94,168,-92,200,263,133,-137,353,0,142,accepted
165,95,-943,167,729,1070,156,109,-64,147,-66,171,412,119,-2444,149,0,2444,accepted
131,110,-695,140,163,741,165,87,-47,132,-68,157,483,124,-340,165,0,352,accepted
162,94,-755,132,168,795,138,88,-51,148,-66,158,443,120,-346,140,0,353,accepted
145,110,-642,106,255,991,106,113,-82,165,-70,159,403,129,-338,136,0,360,accepted
122,112,-705,128,166,737,159,86,-57,142,-45,158,205,123,-134,355,0,148,accepted
122,99,-581,139,214,636,120,102,-80,153,-56,155,420,122,-346,137,0,350,accepted
90,130,-553,153,272,609,132,83,-63,142,-58,152,423,123,-321,115,0,336,accepted
105,122,-551,158,225,601,107,104,-83,163,-85,162,185,135,-117,320,0,142,accepted
166,110,-597,153,141,610,154,87,-73,151,-52,144,221,122,-93,292,0,115,accepted
232,104,-1000,147,126,1019,90,111,-95,173,-72,157,-1155,134,-117,1638,0,138,accepted
102,104,-539,150,110,548,108,81,-55,148,-86,146,199,142,-99,280,0,128,accepted
72,113,-493,141,145,520,60,102,-73,147,-56,143,411,131,-331,129,0,335,accepted
123,121,-577,150,105,600,110,80,-61,151,-52,167,295,131,-285,158,0,288,accepted
139,108,-666,156,205,718,124,105,-79,177,-68,145,208,133,-107,277,0,145,accepted
158,122,-581,151,128,603,81,86,-84,165,-71,157,218,127,-138,325,0,143,accepted
148,115,-589,145,141,619,94,105,-71,151,-60,145,392,123,-303,136,0,306,accepted
153,125,-573,123,245,804,129,106,-57,145,-55,142,488,133,-431,132,0,462,accepted
132,120,-593,117,252,819,109,105,-65,148,-58,141,465,124,-385,128,0,402,accepted
145,111,-754,123,227,822,82,89,-72,157,-67,154,419,120,-331,122,0,333,accepted
152,109,-702,135,181,813,137,100,-63,148,-71,156,227,133,-131,355,0,142,accepted
199,121,-636,138,194,672,77,89,-69,152,-52,145,529,119,-377,126,0,403,accepted
83,128,-489,130,244,529,63,105,-75,144,-69,136,231,142,-91,236,0,116,accepted
60,116,-988,122,162,1174,123,117,-65,146,-62,134,-1374,131,-97,1850,0,123,accepted
122,134,-572,119,156,653,76,113,-59,141,-54,130,170,131,-92,269,0,120,accepted
113,130,-566,122,210,762,103,91,-72,139,-55,142,172,139,-117,319,0,142,accepted
93,126,-609,122,178,840,175,92,-65,137,-72,145,183,138,-106,298,0,126,accepted
114,140,-513,130,150,590,94,96,-63,138,-69,154,182,133,-118,320,0,124,accepted
67,127,-497,118,192,589,103,100,-68,124,-60,145,406,117,-345,133,0,358,accepted
100,121,-585,124,183,683,124,69,-75,134,-58,146,174,122,-124,335,0,136,accepted
92,97,-555,146,165,878,118,92,-63,139,-51,142,192,129,-103,305,0,133,accepted
133,115,-523,103,132,624,98,93,-73,139,-64,134,181,137,-108,282,0,121,accepted
688,119,-1189,136,185,1221,91,94,-65,131,-54,139,219,128,-131,359,0,140,accepted
166,107,-615,120,265,787,108,81,-66,143,-59,123,196,126,-125,331,0,138,accepted
88,130,-522,129,150,616,101,102,-101,160,-75,185,203,152,-101,300,0,120,accepted
116,111,-622,121,144,705,77,97,-72,168,-60,145,168,140,-123,294,0,133,accepted
96,121,-594,129,166,709,48,99,-78,193,-52,155,197,116,-102,316,0,139,accepted
105,125,-718,129,185,817,115,93,-60,135,-54,153,171,156,-100,257,0,147,accepted
70,124,-568,145,183,711,87,111,-72,148,-78,160,182,138,-135,328,0,143,accepted
97,126,-573,133,176,684,86,111,-70,151,-64,136,175,143,-109,311,0,124,accepted
196,118,-723,154,149,759,71,115,-91,193,-75,148,176,168,-113,297,0,125,accepted
139,115,-649,119,185,762,109,111,-72,143,-58,140,195,132,-116,273,0,135,accepted
394,124,-938,141,176,991,87,97,-70,164,-65,145,185,142,-103,278,0,118,accepted
100,123,-768,119,173,890,87,97,-57,154,-59,149,151,147,-132,319,0,147,accepted
224,121,-1346,151,246,1383,789,104,-83,142,-63,154,-2336,150,-93,2800,0,128,accepted
73,122,-599,128,170,779,134,97,-68,141,-54,140,166,133,-97,278,0,123,accepted
