@relation ZXCV1346.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute class {accepted,denied}

@data
% Accepted data
470,137,69,152,51,167,-38,197,226,155,273,122,-63,130,120,106,-79,171,0,119,accepted
382,129,91,145,70,159,-18,200,274,147,201,134,-54,143,125,107,-63,151,0,98,accepted
347,119,27,149,0,191,-34,217,221,136,239,193,-63,160,94,131,-66,164,0,106,accepted
362,112,95,133,59,139,21,169,205,140,269,133,-67,160,120,111,-62,153,0,104,accepted
342,119,64,140,33,165,-29,190,204,138,314,129,-63,161,79,130,-56,151,0,93,accepted
279,124,-13,150,-67,218,-47,179,175,120,192,146,-64,143,86,136,-75,166,0,119,accepted
319,131,62,124,-38,208,-35,192,165,134,434,128,-64,125,122,122,-57,138,0,97,accepted
293,124,-44,174,-38,225,-58,182,174,144,153,119,-66,159,108,126,-72,150,0,106,accepted
321,134,-37,162,-67,201,-57,186,160,150,277,137,-59,136,111,114,-64,137,0,102,accepted
291,137,-73,214,-76,183,-54,216,147,141,122,126,-54,146,101,115,-55,136,0,105,accepted
259,128,-53,176,-65,159,-53,169,136,131,530,130,-70,137,89,137,-61,142,0,105,accepted
362,97,-17,171,-73,185,-42,186,126,132,479,108,-56,130,89,112,-36,120,0,68,accepted
352,124,-68,196,-76,211,-57,192,144,133,170,117,-58,130,92,131,-70,129,0,98,accepted
261,131,-49,172,-86,199,-49,178,136,112,197,112,-45,147,65,122,-38,124,0,81,accepted
825,103,79,158,-29,176,-37,164,105,105,491,119,-61,142,108,104,-51,130,0,87,accepted
264,140,-21,191,-52,151,-48,141,133,139,379,144,-64,150,99,118,-65,143,0,109,accepted
260,132,-46,168,-54,182,-41,133,166,108,297,120,-54,144,110,108,-59,128,0,101,accepted
275,125,-43,154,-68,169,-48,157,160,123,117,117,-45,137,93,101,-52,124,0,81,accepted
261,125,-63,178,-119,213,-65,171,165,122,178,114,-47,138,107,110,-67,125,0,93,accepted
227,117,-71,209,-96,183,-48,141,109,107,121,113,-46,136,84,106,-48,144,0,103,accepted
222,108,-66,189,-103,196,-50,160,120,108,170,87,-58,141,78,114,-43,128,0,80,accepted
391,105,-23,175,-69,172,-46,137,151,100,300,122,-58,136,105,110,-51,118,0,94,accepted
229,146,-56,206,-104,185,-51,169,145,116,265,138,-66,139,113,119,-67,137,0,104,accepted
198,147,-78,187,-96,199,-59,149,141,123,195,128,-48,141,105,102,-58,109,0,93,accepted
208,112,-62,187,-92,168,-48,137,143,103,225,140,-45,160,82,110,-65,128,0,96,accepted
444,160,-56,203,-85,188,-44,158,227,110,284,141,-57,137,114,95,-54,115,0,85,accepted
251,134,-57,186,-113,196,-50,167,222,105,212,166,-56,156,97,113,-64,119,0,97,accepted
255,124,-74,191,-101,198,-44,158,140,109,177,146,-34,145,98,114,-57,112,0,81,accepted
242,142,-54,187,-83,193,-46,131,242,118,184,127,-62,146,108,106,-63,116,0,103,accepted
312,113,-86,262,-86,149,-40,142,131,115,439,147,-58,148,89,109,-52,132,0,92,accepted
285,123,-85,202,-102,208,-63,159,217,123,129,146,-37,155,190,65,-79,153,0,110,accepted
273,134,-56,184,-86,179,-49,150,150,120,162,150,-52,154,93,118,-60,110,0,103,accepted
205,112,-62,175,-80,195,-42,130,126,111,429,143,-42,144,106,97,-47,106,0,93,accepted
233,139,-55,178,-79,166,-50,136,98,121,509,133,-50,137,88,119,-50,121,0,86,accepted
192,132,-64,183,-70,156,-57,124,156,107,327,160,-53,113,83,122,-46,112,0,94,accepted
214,141,-75,191,-76,166,-74,132,118,135,220,159,-44,126,69,106,-35,110,0,78,accepted
216,124,-65,186,-100,173,-51,164,2090,111,827,125,-39,115,86,81,-48,101,0,90,accepted
467,159,-63,179,-91,175,-66,142,557,115,181,149,-62,135,112,99,-79,123,0,112,accepted
284,118,-69,187,-120,186,-87,165,203,133,167,152,-62,141,112,126,-66,110,0,95,accepted
257,122,-63,188,-95,193,-47,129,192,110,128,124,-45,132,98,103,-54,107,0,94,accepted
222,148,-65,199,-79,158,-47,123,161,107,112,137,-49,152,102,90,-75,121,0,110,accepted
210,127,-63,180,-66,171,-68,127,134,136,553,140,-61,120,105,102,-51,106,0,87,accepted
217,132,-64,199,-84,159,-41,146,158,99,394,150,-56,131,112,104,-47,104,0,88,accepted
195,124,-64,186,-89,170,-61,138,148,112,109,133,-41,130,66,120,-44,126,0,78,accepted
190,129,-68,172,-72,163,-68,131,117,127,508,135,-47,134,133,75,-45,115,0,86,accepted
211,115,-68,180,-75,149,-63,133,143,121,413,153,-60,136,117,110,-51,111,0,89,accepted
197,136,-53,178,-78,163,-58,142,146,120,290,134,-50,117,110,95,-49,101,0,85,accepted
