@relation freddy77.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute class {accepted,denied}

@data
% Accepted data
-80,120,-64,168,112,120,64,120,152,88,296,80,96,104,0,104,accepted
-72,168,-80,192,112,136,72,104,160,96,192,96,87,104,0,97,accepted
-65,136,-65,169,135,129,88,96,152,88,408,88,128,144,0,104,accepted
-72,120,-88,168,248,128,89,96,144,79,336,88,96,80,0,80,accepted
-64,120,-72,152,112,128,80,88,216,96,264,72,104,88,0,97,accepted
-64,136,-64,160,224,128,96,96,264,88,248,88,96,80,0,104,accepted
-56,120,-64,144,88,136,80,88,128,80,160,88,96,88,0,88,accepted
-56,104,-56,152,112,120,65,87,80,88,152,88,96,88,0,87,accepted
-72,129,-55,143,113,103,72,80,120,79,312,104,215,137,0,97,accepted
-104,120,-64,160,104,128,56,112,87,81,112,96,80,104,0,112,accepted
-64,136,-56,144,88,96,95,81,184,104,384,120,376,64,0,128,accepted
-65,129,-80,168,104,112,80,96,96,96,184,72,96,80,0,96,accepted
-48,112,-64,136,96,120,72,80,96,80,152,80,128,56,0,80,accepted
-56,96,-40,152,207,105,104,97,224,88,304,72,87,96,0,97,accepted
-47,191,-49,160,183,121,80,88,201,96,336,80,96,63,0,88,accepted
-73,121,-56,152,120,112,64,80,88,80,120,104,88,73,0,103,accepted
-65,120,-57,137,97,105,56,87,111,97,248,81,104,71,0,96,accepted
-64,128,-64,152,112,104,65,96,120,79,152,96,80,64,0,104,accepted
-72,136,-55,144,112,111,88,88,168,72,120,104,104,80,0,88,accepted
