@relation helloworld.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute class {accepted,denied}

@data
% Accepted data
40,96,8,112,40,96,88,96,64,96,224,72,16,112,24,88,8,88,0,72,accepted
0,96,40,104,72,72,72,64,168,88,32,88,8,96,24,88,16,80,0,73,accepted
0,96,32,112,80,80,88,56,0,81,24,95,-8,96,32,96,16,72,0,80,accepted
176,88,24,72,48,80,64,88,8,96,40,96,8,104,24,88,24,72,0,80,accepted
0,104,0,120,64,88,80,72,16,80,32,96,16,88,8,88,24,88,0,72,accepted
24,88,0,104,57,79,112,96,72,88,47,128,8,112,7,113,24,89,0,80,accepted
40,72,8,88,760,96,113,96,289,71,0,88,16,103,16,96,24,80,0,104,accepted
0,80,32,104,56,88,80,64,24,96,8,104,40,96,8,80,32,80,0,64,accepted
56,88,8,80,48,96,88,80,16,96,0,112,24,88,16,96,32,80,0,80,accepted
-32,120,-16,120,72,88,80,80,16,96,0,104,-8,88,16,96,32,72,0,72,accepted
24,88,15,96,56,81,81,79,-7,71,17,103,-16,80,55,80,9,72,0,63,accepted
-8,112,88,88,56,72,81,72,-8,79,16,96,0,89,88,79,16,72,0,64,accepted
32,112,15,89,56,80,72,80,-16,88,24,96,-8,81,24,96,32,80,0,72,accepted
8,96,24,88,64,80,80,80,-24,88,24,104,-8,88,64,72,0,72,0,80,accepted
33,103,-16,88,88,72,97,55,-8,80,33,95,16,80,32,80,55,56,0,57,accepted
24,87,41,88,56,87,80,80,-15,96,16,103,-8,112,24,96,-8,104,0,72,accepted
16,96,-7,120,48,79,96,88,8,96,0,104,0,96,8,96,8,88,0,88,accepted
16,96,24,88,64,80,72,72,-32,96,39,112,16,105,16,88,24,104,0,56,accepted
-32,128,32,111,65,80,88,88,41,95,1,95,232,111,8,96,16,112,0,56,accepted
-16,136,33,96,65,87,96,63,16,72,8,104,8,80,24,88,24,80,0,80,accepted
-40,136,16,104,80,80,88,56,-8,72,0,104,8,96,23,89,24,64,0,56,accepted
56,80,-16,88,64,80,80,72,-32,80,8,120,0,88,24,72,24,72,0,72,accepted
0,104,-16,104,56,88,88,88,24,96,0,104,16,104,56,88,16,96,0,72,accepted
1,96,0,111,56,88,80,80,8,96,8,96,24,104,40,80,16,64,0,72,accepted
-16,128,-7,95,56,96,65,71,1,103,0,88,0,96,32,88,8,72,0,72,accepted
0,119,0,105,72,87,79,65,-16,81,48,79,-16,105,56,87,0,73,0,79,accepted
-16,112,32,112,64,88,104,88,24,80,1,104,0,87,16,88,24,80,0,80,accepted
16,104,23,89,56,96,80,96,16,88,-8,120,32,120,24,96,24,80,0,88,accepted
-8,96,8,112,64,80,80,72,0,104,16,96,16,96,48,88,16,88,0,80,accepted
16,145,79,128,55,97,80,89,0,89,8,104,161,95,41,71,55,72,0,49,accepted
33,95,7,104,72,64,96,88,0,88,16,88,-16,96,32,88,25,56,0,71,accepted
8,88,0,113,72,95,80,80,-16,104,56,88,8,120,48,80,8,80,0,64,accepted
56,88,16,120,80,80,96,88,7,120,-8,121,0,96,24,88,8,80,0,96,accepted
96,104,87,89,71,105,96,105,24,95,24,96,0,97,32,95,24,64,0,82,accepted
8,103,56,112,48,112,96,104,40,96,1,88,32,111,8,96,56,64,0,56,accepted
-32,120,8,104,64,96,88,88,8,88,1,112,16,95,40,96,0,80,0,80,accepted
-72,168,40,112,56,96,96,80,8,96,8,96,0,112,16,88,0,96,0,104,accepted
-40,129,80,112,64,80,88,64,16,80,7,112,0,89,672,56,49,63,0,80,accepted
8,103,79,97,65,72,97,71,8,71,8,104,8,88,32,96,16,72,0,80,accepted
-32,111,8,112,72,80,95,97,88,96,16,104,-16,112,40,104,48,72,0,80,accepted
40,88,24,96,72,72,64,80,8,88,16,104,15,73,24,88,16,72,0,72,accepted
-40,120,8,104,64,80,88,72,16,88,16,80,1,88,48,95,8,72,0,80,accepted
-32,104,24,112,80,88,104,96,360,88,40,120,-8,95,49,112,48,95,0,73,accepted
64,71,40,112,64,80,103,89,73,96,-23,135,40,87,8,88,48,64,0,64,accepted
32,96,144,96,80,88,88,89,80,96,24,88,0,96,72,72,40,48,0,64,accepted
-16,104,80,112,80,80,96,72,0,88,8,112,-8,88,32,88,16,64,0,48,accepted
-16,103,39,113,72,88,80,80,8,96,0,121,16,71,41,88,25,63,0,64,accepted
17,87,17,103,47,96,72,88,8,89,15,120,-16,96,49,88,32,71,0,56,accepted
-32,120,40,112,56,96,64,72,-8,96,40,96,-24,80,424,56,24,64,0,64,accepted
-40,104,56,104,56,88,72,80,32,88,32,112,-8,88,56,96,8,72,0,64,accepted
-24,113,32,104,56,88,80,72,0,88,40,96,-24,72,72,72,0,56,0,48,accepted
% Denied data: variations of the originals
115,152,118,133,-154,63,117,111,-128,68,-20,75,107,119,-223,58,62,107,0,47,denied
-96,57,97,126,301,105,60,54,165,107,-29,68,-90,66,-217,58,-18,42,0,46,denied
89,141,111,131,-134,65,117,111,-141,67,-24,72,113,121,-239,56,-21,40,0,40,denied
102,147,105,128,-208,58,117,111,180,109,-24,72,-100,64,337,116,-20,40,0,102,denied
98,145,117,133,-177,61,59,53,-128,68,-22,73,-75,70,-250,55,55,101,0,39,denied
97,144,-56,73,-192,60,114,108,-170,63,55,132,106,119,-181,62,-16,43,0,45,denied
-82,63,-42,77,-143,64,110,104,-144,66,-30,67,95,116,299,112,-14,45,0,38,denied
115,152,117,133,300,105,60,54,223,114,50,128,124,124,298,112,55,101,0,38,denied
-88,60,-68,69,-198,59,60,54,177,108,-21,74,-79,69,344,117,57,103,0,44,denied
124,156,102,127,-194,59,111,105,-162,64,-27,69,-79,69,366,119,-16,44,0,40,denied
-92,59,-44,77,-173,61,111,105,227,115,58,134,127,125,-173,63,62,107,0,104,denied
-95,58,-43,77,333,108,112,106,179,109,60,136,-103,63,-260,54,58,104,0,42,denied
-79,64,116,132,-149,64,116,110,178,108,-19,75,118,122,-230,57,-20,40,0,104,denied
124,156,104,128,-191,60,54,48,199,111,62,137,-93,65,292,112,-10,48,0,100,denied
-73,67,101,127,343,109,60,54,220,114,-28,69,122,123,-174,63,65,109,0,107,denied
98,145,121,134,278,103,62,56,186,109,54,131,-93,66,-248,55,-22,39,0,104,denied
-96,57,-53,74,273,103,55,49,-124,69,58,134,110,120,-211,59,-17,43,0,46,denied
-74,67,-64,70,-165,62,54,48,186,109,-25,71,126,125,311,114,63,108,0,106,denied
-79,64,-62,71,350,110,57,51,-176,62,-17,77,128,125,-231,57,64,109,0,102,denied
-93,58,108,129,-146,64,60,54,-127,68,53,130,104,118,-186,61,64,109,0,42,denied
116,153,107,129,-200,59,60,54,178,108,-18,76,-93,65,336,116,63,108,0,102,denied
-98,56,108,130,297,105,54,48,169,107,-29,68,110,120,-258,54,-11,48,0,40,denied
123,156,-66,69,342,109,62,56,-163,64,60,136,-84,68,345,117,53,100,0,104,denied
-111,50,113,131,273,103,62,56,-144,66,-26,71,-87,67,341,117,58,104,0,46,denied
106,148,103,128,337,109,54,48,224,114,54,131,106,119,-188,61,-16,44,0,36,denied
88,140,-66,70,-146,64,58,52,164,107,-18,77,-77,70,-163,64,63,108,0,45,denied
95,143,-44,77,-184,60,116,110,217,113,-17,77,103,118,-243,55,63,108,0,39,denied
-111,50,118,133,279,103,61,55,-149,66,47,126,-104,62,-195,61,57,103,0,96,denied
-87,61,121,134,350,110,107,101,205,112,-25,71,-108,61,-198,60,53,99,0,40,denied
87,140,-53,74,286,104,113,107,184,109,-18,77,-83,68,367,119,-18,42,0,106,denied
-100,55,-67,69,-195,59,115,109,232,115,-29,68,-100,63,322,115,-17,43,0,106,denied
-73,67,-40,78,363,111,112,106,196,111,48,126,93,116,-178,62,-8,50,0,46,denied
101,146,108,130,302,105,52,46,226,115,-26,70,-73,71,-251,55,53,100,0,38,denied
91,141,110,130,-121,66,60,54,-176,62,47,126,97,117,-205,59,58,104,0,106,denied
98,145,-62,71,-143,64,115,109,215,113,-23,72,102,118,-167,63,-22,39,0,37,denied
-106,52,-45,76,-166,62,115,109,210,113,54,131,123,124,363,119,55,101,0,100,denied
-76,66,-55,73,338,109,111,105,-113,70,-30,67,124,124,365,119,54,101,0,102,denied
-102,54,-58,72,361,111,111,105,168,107,57,133,-108,62,-227,57,-20,41,0,104,denied
-91,59,100,127,-186,60,113,107,-129,68,-32,66,130,126,315,114,58,104,0,43,denied
102,146,-54,74,306,106,57,51,218,114,-30,68,102,118,-163,64,57,103,0,105,denied
111,150,101,127,-181,60,111,105,-139,67,58,134,-104,62,309,113,-10,49,0,100,denied
-104,54,-65,70,360,111,61,55,-151,65,55,132,105,119,322,115,-12,47,0,39,denied
-88,61,100,127,337,109,54,48,-114,70,-31,67,105,119,-201,60,-11,48,0,45,denied
91,142,-65,70,-134,65,59,53,-113,70,52,129,112,121,271,109,66,110,0,42,denied
117,153,-61,71,-129,65,53,47,-116,70,-23,73,-87,67,350,118,-14,46,0,44,denied
-75,66,-39,79,-161,62,54,48,219,114,-19,76,-83,68,-235,56,-16,44,0,96,denied
-74,67,115,132,-153,63,110,104,-142,67,-29,68,-72,71,-224,57,-18,42,0,41,denied
-110,51,119,133,-183,60,59,53,-129,68,-27,70,-91,66,268,109,55,101,0,106,denied
116,153,-58,72,-164,62,111,105,205,112,-22,74,126,124,-170,63,-20,40,0,43,denied
-85,62,-44,77,-128,65,52,46,-152,65,-25,71,-72,71,296,112,-16,44,0,98,denied
95,143,103,128,364,111,55,49,-127,68,-17,77,-73,71,309,113,64,109,0,42,denied
97,144,-53,74,305,106,114,108,166,107,-27,70,95,116,-161,64,58,104,0,98,denied
105,148,94,125,361,111,54,48,198,111,48,127,115,122,-172,63,58,104,0,107,denied
-85,62,119,133,288,104,52,46,-167,63,55,132,-97,64,-228,57,-11,47,0,42,denied
-108,52,100,127,-143,64,59,53,166,107,-19,75,-104,63,-179,62,62,107,0,37,denied
-90,60,109,130,-202,59,116,110,229,115,60,136,101,118,-172,63,52,99,0,42,denied
-102,54,-51,75,312,106,107,101,-115,70,-26,70,-73,71,-186,61,-11,48,0,107,denied
92,142,122,134,-139,64,113,107,-135,67,-30,68,-85,68,-258,54,-11,48,0,102,denied
-90,60,105,129,-169,62,115,109,-178,62,-17,77,127,125,357,118,-20,41,0,98,denied
-85,62,-54,73,-121,66,58,52,188,110,48,126,-85,68,-230,57,55,101,0,47,denied
104,147,-47,76,-154,63,55,49,-112,70,47,126,-99,64,365,119,-22,39,0,41,denied
87,140,-67,69,309,106,115,109,179,109,-20,75,-111,61,-224,57,52,99,0,100,denied
107,149,-49,75,-177,61,59,53,215,113,-21,74,-106,62,350,118,-17,43,0,41,denied
109,150,-58,72,324,107,59,53,-123,69,47,126,-107,62,-194,61,66,110,0,98,denied
96,144,122,134,304,106,53,47,-160,64,-27,70,-72,71,-168,63,-13,46,0,106,denied
88,140,-42,78,-122,66,110,104,169,107,49,127,-82,68,-207,59,-14,45,0,100,denied
115,152,-65,70,346,109,53,47,181,109,62,137,117,122,-195,60,-14,45,0,40,denied
-90,60,-43,77,-201,59,116,110,188,110,-18,76,-109,61,-196,60,52,99,0,42,denied
-85,62,107,129,288,104,55,49,-136,67,53,130,109,120,295,112,66,110,0,98,denied
116,153,117,133,-126,66,116,110,-131,68,-23,73,124,124,-251,55,-13,46,0,39,denied
-91,59,108,130,-207,58,55,49,-122,69,57,133,123,124,296,112,62,107,0,44,denied
-94,58,-67,69,-144,64,62,56,179,109,61,136,-111,61,-192,61,-17,43,0,43,denied
102,146,95,125,324,107,116,110,214,113,-25,71,103,118,-230,57,-22,39,0,47,denied
-91,59,-41,78,276,103,54,48,-150,66,-24,72,-76,70,312,114,-20,40,0,45,denied
106,148,120,134,284,104,54,48,167,107,58,134,107,120,-247,55,54,100,0,100,denied
-83,63,115,132,-165,62,109,103,215,113,-29,68,-107,62,-253,54,-18,42,0,42,denied
-108,51,91,124,333,108,110,104,189,110,-22,73,-108,61,336,116,-12,47,0,105,denied
-100,55,-48,76,-189,60,57,51,-168,63,52,130,-88,67,364,119,-15,44,0,100,denied
-106,52,98,126,310,106,117,111,-155,65,-24,72,120,123,-234,56,59,105,0,44,denied
118,154,92,124,337,109,55,49,-143,66,-22,73,-71,71,-222,58,-16,44,0,104,denied
-82,63,-52,74,-170,62,55,49,-126,69,49,127,115,122,350,118,-11,48,0,97,denied
-109,51,115,132,286,104,54,48,-141,67,56,133,-80,69,288,111,-18,42,0,100,denied
-95,57,-59,72,-160,62,61,55,-131,68,-18,76,-74,71,-238,56,-16,44,0,43,denied
-97,57,-49,75,-195,59,59,53,206,112,-32,66,-89,66,-215,58,66,110,0,47,denied
93,142,94,125,332,108,59,53,168,107,55,132,121,123,346,117,-10,49,0,37,denied
88,140,98,126,340,109,56,50,179,109,-29,68,129,125,-164,64,-10,49,0,37,denied
-85,62,-60,71,-183,60,116,110,190,110,-24,72,-107,62,363,119,64,109,0,106,denied
100,145,108,129,314,107,62,56,225,114,-25,71,102,118,-224,57,61,106,0,96,denied
-109,51,122,134,349,110,107,101,-142,66,-18,76,110,120,367,119,-12,47,0,107,denied
-111,50,-41,78,302,105,57,51,-118,70,49,128,111,120,-192,61,58,104,0,45,denied
106,148,121,134,345,109,107,101,-132,68,-18,77,96,116,-237,56,54,101,0,46,denied
126,157,-67,69,331,108,107,101,-140,67,60,136,98,117,-245,55,-13,46,0,39,denied
122,155,-67,69,-185,60,59,53,212,113,-18,77,100,117,-209,59,-13,46,0,40,denied
122,155,104,128,-178,61,58,52,216,113,49,127,-104,63,-209,59,-14,45,0,98,denied
-100,55,100,127,311,106,54,48,-160,64,-17,77,-71,71,-198,60,60,106,0,37,denied
92,142,-38,79,-140,64,115,109,-127,68,-20,75,96,116,-185,61,53,99,0,43,denied
-90,60,-64,70,-205,58,57,51,-132,68,-27,69,128,125,-171,63,-8,50,0,42,denied
112,151,-39,79,-162,62,111,105,180,109,56,132,100,118,-176,62,-14,46,0,96,denied
-100,55,-39,79,-145,64,107,101,216,113,-18,77,129,125,-159,64,-14,45,0,96,denied
109,150,100,127,-143,64,115,109,-142,67,57,134,94,116,299,112,62,107,0,46,denied
