@relation BillNyeTheTestingGuy1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
% Accepted data
32,79,169,64,152,144,497,95,32,111,121,152,0,128,0,accepted
-40,128,145,79,616,144,8,96,-15,95,40,136,0,120,0,accepted
-32,120,152,88,344,152,24,88,-24,112,64,128,0,120,0,accepted
-7,111,208,96,456,144,9,95,88,120,32,136,0,104,0,accepted
-32,120,152,88,344,152,24,88,-24,112,64,128,0,120,0,accepted
-24,128,152,80,296,144,-8,80,-16,136,40,128,0,112,0,accepted
-24,136,240,72,624,128,16,88,8,96,16,176,0,112,0,accepted
-23,120,80,103,40,152,280,80,-7,104,25,135,0,99,0,accepted
16,88,32,88,584,168,56,80,264,96,112,144,0,96,0,accepted
-48,136,208,88,96,176,8,80,-24,112,-7,144,0,111,0,accepted
-15,127,273,79,153,167,0,96,-25,120,31,145,0,104,0,accepted
49,127,345,95,489,135,15,104,-32,129,41,135,0,128,0,accepted
0,128,192,112,425,119,24,79,-7,120,-7,135,0,143,0,accepted
-23,135,73,135,416,152,64,88,-23,95,35,141,0,104,0,accepted
-16,112,448,88,344,168,-31,106,32,101,32,160,0,112,0,accepted
8,128,723,72,400,149,40,88,-8,104,0,168,0,112,0,accepted
-33,113,112,112,392,168,40,88,-8,104,16,160,0,128,0,accepted
-32,120,192,88,289,112,8,79,-1,113,-16,152,0,88,0,accepted
16,88,32,88,584,168,56,80,264,96,112,144,0,96,0,accepted
-48,136,208,88,96,176,8,80,-24,112,-7,144,0,111,0,accepted
-32,128,64,80,273,168,40,87,-8,96,32,128,0,128,0,accepted
-7,135,-15,79,561,159,56,71,-23,112,1,151,0,127,0,accepted
-40,143,209,88,169,159,64,79,-15,112,24,135,0,115,0,accepted
1,119,56,55,232,153,-7,79,-15,127,39,128,0,120,0,accepted
-31,111,24,79,433,152,-7,79,-15,95,33,119,0,127,0,accepted
-15,136,8,80,225,151,8,79,-15,104,8,135,0,97,0,accepted
-40,144,16,80,320,192,-16,88,-40,128,40,128,0,120,0,accepted
-32,144,-7,71,296,144,-24,88,-40,104,48,120,0,128,0,accepted
-32,144,-8,80,792,136,24,64,-16,88,40,120,0,120,0,accepted
-136,56,104,144,240,200,-8,88,-32,112,32,112,0,120,0,accepted
-48,128,32,80,257,160,8,63,-16,128,40,104,0,112,0,accepted
-31,152,-32,103,337,136,0,87,-16,112,217,152,0,111,0,accepted
-47,128,16,71,416,152,-24,80,-16,112,16,120,0,144,0,accepted
-39,144,184,63,233,120,17,87,-24,103,41,112,0,119,0,accepted
-39,135,24,71,161,144,-24,87,-32,120,32,112,0,112,0,accepted
-32,120,24,64,81,152,-15,71,-15,119,16,111,0,144,0,accepted
-48,152,32,64,576,128,24,64,-40,120,48,112,0,136,0,accepted
-47,128,16,71,416,152,-24,80,-16,112,16,120,0,144,0,accepted
-72,144,73,103,224,152,-24,88,-7,119,31,128,0,129,0,accepted
-51,147,33,79,280,160,24,80,-24,120,64,120,0,136,0,accepted
-128,64,48,136,288,128,7,72,-16,129,-24,176,0,136,0,accepted
-24,128,104,88,376,128,16,88,-40,112,48,120,0,136,0,accepted
-48,152,32,64,576,128,24,64,-40,120,48,112,0,136,0,accepted
-16,144,-24,88,616,152,32,64,-24,104,40,128,0,112,0,accepted
-40,144,-16,88,440,128,-1,89,-26,114,16,120,0,120,0,accepted
-56,136,0,72,593,120,16,79,-24,112,33,120,0,119,0,accepted
-40,136,-34,90,218,160,-23,110,-32,103,40,128,0,96,0,accepted
-23,118,-40,79,392,136,-8,104,-47,104,16,151,0,136,0,accepted
-40,144,40,48,208,168,24,96,-47,160,1,167,0,127,0,accepted
-48,152,32,64,576,128,24,64,-40,120,48,112,0,136,0,accepted
% Denied data: variations of the originals
41,178,-237,38,740,192,118,106,-152,82,-70,85,0,85,0,denied
47,182,490,136,-42,99,111,104,-154,81,127,176,0,152,0,denied
28,169,-278,33,-125,89,-92,58,-137,85,-76,82,0,89,0,denied
29,170,429,127,11,105,-78,61,-171,78,-47,95,0,145,0,denied
-114,71,394,123,-9,103,111,104,150,143,-60,89,0,147,0,denied
47,182,384,121,767,196,-111,53,-128,87,138,181,0,151,0,denied
-109,74,-293,31,837,204,105,103,-165,79,127,176,0,147,0,denied
35,174,-277,33,763,195,129,108,164,146,-54,92,0,155,0,denied
50,184,-172,47,710,189,-111,53,-140,84,109,168,0,87,0,denied
52,186,396,123,-23,101,116,105,-145,83,-77,82,0,92,0,denied
54,187,-266,35,-25,101,121,106,114,136,123,174,0,90,0,denied
-111,72,450,130,-36,99,113,104,-144,83,122,174,0,84,0,denied
-103,78,458,131,-101,92,148,112,-125,87,117,171,0,83,0,denied
29,170,-228,40,-80,94,145,112,-136,85,111,168,0,146,0,denied
39,177,416,126,808,201,146,112,146,142,118,172,0,145,0,denied
-109,74,416,126,808,201,-95,57,118,137,-43,97,0,145,0,denied
28,169,389,122,809,201,113,104,-134,85,-47,95,0,155,0,denied
40,178,378,121,783,198,146,112,-127,87,-53,93,0,157,0,denied
49,184,418,126,755,194,125,107,159,145,108,167,0,156,0,denied
38,176,-283,32,-48,98,-96,57,-132,86,115,171,0,83,0,denied
39,177,382,121,-78,94,137,110,-182,76,136,180,0,156,0,denied
-99,81,-252,36,-39,99,134,109,-175,77,139,181,0,81,0,denied
-102,79,-176,47,853,206,120,106,146,143,127,176,0,90,0,denied
-102,79,413,125,-13,102,-73,62,-173,77,-49,95,0,91,0,denied
-118,68,-279,33,-71,95,137,110,158,145,-74,83,0,149,0,denied
-112,72,-182,46,818,202,-85,59,125,138,-67,86,0,154,0,denied
-99,81,388,122,731,191,125,107,-169,78,139,181,0,87,0,denied
54,187,-271,34,787,198,-72,62,-129,86,141,182,0,155,0,denied
31,172,388,122,-96,92,134,109,161,145,-46,96,0,151,0,denied
47,182,374,120,791,199,-84,59,131,139,-71,84,0,155,0,denied
-96,83,371,120,827,203,-80,60,-150,82,142,183,0,89,0,denied
-97,82,391,122,851,206,-74,62,-171,78,-47,95,0,149,0,denied
-91,86,-191,45,723,190,114,105,162,146,-48,95,0,152,0,denied
28,169,-224,40,-68,96,-76,61,148,143,128,176,0,155,0,denied
39,177,-185,45,780,197,-96,57,-147,83,114,170,0,91,0,denied
-114,70,-240,38,856,206,-92,58,-135,85,110,168,0,148,0,denied
34,174,398,123,781,197,129,108,144,142,-41,98,0,90,0,denied
-116,69,-228,40,8,105,125,107,-155,81,111,168,0,150,0,denied
41,178,-282,32,-14,102,-91,58,-169,78,113,170,0,156,0,denied
-92,85,482,135,-32,100,112,104,114,136,111,169,0,91,0,denied
45,181,443,129,770,196,112,104,-165,79,-71,84,0,154,0,denied
45,181,396,123,-126,89,118,106,-145,83,134,179,0,82,0,denied
32,172,-259,36,-2,103,-97,56,-181,76,125,175,0,88,0,denied
-105,77,-223,40,838,204,129,108,-151,82,-67,86,0,91,0,denied
35,174,383,121,-76,95,145,112,129,139,130,177,0,84,0,denied
54,187,455,131,802,200,-89,58,-163,80,134,179,0,150,0,denied
-103,78,-263,35,826,203,-106,54,-161,80,109,168,0,83,0,denied
-97,82,371,120,-100,92,130,108,122,138,-53,93,0,80,0,denied
-110,73,-179,46,807,201,146,112,152,144,131,178,0,146,0,denied
26,168,373,120,-88,93,-85,59,-174,77,-77,82,0,146,0,denied
39,177,-294,31,-116,90,-77,61,-125,87,-58,91,0,82,0,denied
