@relation BillNyeTheTestingGuy1Attacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
-16,135,-16,120,-24,152,23,113,152,120,-40,152,0,169,0,denied
-23,152,24,104,-24,152,-23,143,72,103,-64,168,0,176,0,denied
15,144,24,96,33,143,-23,127,71,112,-15,168,0,143,0,denied
-23,144,17,158,-16,143,-16,152,89,96,-47,175,0,159,0,denied
-17,143,40,105,-16,144,17,119,88,88,-39,160,0,159,0,denied
-32,128,-15,120,-16,143,24,111,57,80,-57,161,0,168,0,denied
-23,127,24,96,-23,135,16,112,73,95,-39,192,0,158,0,denied
-24,159,-14,127,-13,134,992,109,55,113,-79,184,0,167,0,denied
-31,128,16,111,15,161,17,104,49,95,-47,199,0,160,0,denied
-41,136,-16,136,16,145,65,135,49,184,-54,174,0,158,0,denied
-24,135,17,119,-32,136,31,120,42,104,-39,174,0,160,0,denied
-40,144,24,112,-24,175,32,138,57,111,-48,167,0,167,0,denied
-15,160,79,191,16,145,41,160,72,175,-55,183,0,152,0,denied
-25,145,17,112,81,151,16,126,65,113,-40,167,0,160,0,denied
-24,145,66,95,25,159,56,127,57,159,16,176,0,104,0,denied
-23,135,361,111,32,152,49,144,64,111,-56,184,0,167,0,denied
-46,158,74,158,111,168,-16,144,74,128,-49,158,0,161,0,denied
32,133,168,152,24,136,56,160,74,128,-40,158,0,168,0,denied
-16,144,89,126,73,280,-23,127,65,127,-71,167,0,167,0,denied
-30,134,72,160,264,119,41,105,56,127,-55,191,0,167,0,denied
-16,160,168,143,16,177,32,112,64,127,-72,184,0,168,0,denied
-72,128,32,112,-22,127,97,150,66,135,-56,159,0,159,0,denied
-16,153,73,184,25,143,16,151,81,104,-39,159,0,166,0,denied
-31,151,265,127,24,128,24,119,64,89,-55,160,0,167,0,denied
-64,160,152,136,25,136,-21,134,40,109,-64,185,0,184,0,denied
-31,158,153,111,280,136,56,159,73,120,-39,183,0,167,0,denied
-24,150,200,120,33,225,-23,143,49,119,-63,150,0,176,0,denied
-31,136,153,167,23,135,17,145,48,95,-56,192,0,176,0,denied
48,136,25,168,40,150,25,128,79,104,-32,153,0,168,0,denied
24,136,-39,152,17,151,33,126,57,119,-48,160,0,176,0,denied
-40,136,25,152,25,150,129,160,72,127,-56,160,0,184,0,denied
40,119,-8,88,56,112,8,80,-15,96,-16,127,0,64,0,denied
81,96,8,87,63,89,-7,64,8,111,-23,120,0,79,0,denied
48,104,8,80,264,112,40,80,0,88,-32,144,0,72,0,denied
128,96,24,80,56,88,0,80,0,80,-24,128,0,72,0,denied
128,96,8,88,40,104,-32,72,103,80,520,81,0,112,0,denied
23,88,-7,80,40,104,-16,72,-7,79,-23,127,0,88,0,denied
57,103,24,80,8,103,0,89,-23,103,-24,127,0,88,0,denied
32,111,8,80,24,112,-24,80,0,88,-24,120,0,72,0,denied
32,96,88,104,8,136,32,72,-16,104,-32,152,0,88,0,denied
39,72,8,89,24,112,-8,88,8,88,-48,128,0,96,0,denied
32,120,-23,79,1729,168,-56,88,-17,80,-7,128,0,64,2,denied
64,96,-9,80,49,96,-32,71,-17,81,-32,128,0,72,0,denied
56,103,-8,72,48,112,-32,80,-16,80,-33,129,0,80,0,denied
0,104,8,72,752,104,8,64,-32,88,9,136,0,63,1,denied
16,80,96,96,48,112,0,80,0,81,1568,79,0,64,2,denied
9,95,-7,79,7,96,-32,90,0,64,-23,111,0,72,0,denied
72,79,791,97,-9,113,89,72,25,71,-47,111,0,103,0,denied
73,111,-16,87,32,96,8,96,-24,80,153,104,0,55,0,denied
32,88,0,97,16,103,-23,72,-8,87,-32,128,0,72,0,denied
49,128,-16,79,16,120,136,80,-16,80,8,112,0,56,0,denied
64,112,-8,72,15,120,-16,81,-24,104,-32,144,0,80,0,denied
48,96,-16,80,49,111,72,64,-24,96,-15,127,0,72,0,denied
56,95,72,80,0,104,1,72,-16,103,-32,120,0,88,0,denied
8,96,32,72,16,96,-8,64,-24,112,-8,112,0,80,0,denied
0,96,-8,72,24,96,-24,72,-32,112,-32,104,0,104,0,denied
32,112,32,72,0,112,-8,80,0,88,-40,128,0,104,0,denied
56,112,40,81,48,136,31,80,-7,88,-47,127,0,104,0,denied
65,120,23,64,8,112,-31,72,-24,87,-40,129,0,103,0,denied
32,112,0,73,9,176,8,71,120,136,-112,96,0,144,0,denied
8,88,16,72,16,112,-24,72,-24,104,-32,112,0,96,0,denied
0,112,16,72,31,121,-8,56,16,72,-8,72,0,80,0,denied
16,104,16,64,7,104,-8,81,-32,88,-7,103,0,72,0,denied
-16,96,15,72,24,97,-24,80,-7,79,-24,120,0,88,0,denied
72,105,24,71,-24,145,-7,71,359,104,-7,112,0,55,0,denied
33,111,23,80,0,137,8,79,80,112,536,112,0,112,0,denied
24,104,-8,80,16,136,-24,72,-15,128,-24,127,0,96,0,denied
24,120,8,72,8,120,-16,72,-32,120,1,112,0,79,0,denied
40,112,0,64,24,184,32,64,-32,104,-16,136,0,72,0,denied







































































































































