@relation BillNyeTheTestingGuy4Attacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
305,177,-935,143,241,1087,-1744,151,0,3015,0,denied
288,143,121,112,200,111,-1311,104,0,1744,0,denied
265,119,73,127,241,127,-1408,120,0,1496,0,denied
264,103,25,160,225,111,-1311,127,0,1398,0,denied
159,136,-17,186,153,136,-1150,142,0,1231,0,denied
168,104,24,168,241,136,-1183,110,0,1288,0,denied
193,120,64,127,234,135,-1224,103,0,1296,0,denied
175,112,63,120,200,169,-1390,135,0,1439,0,denied
273,120,98,126,240,104,-1328,119,0,1432,0,denied
169,105,113,134,207,129,-1176,112,0,1248,0,denied
137,119,88,127,185,128,-1160,127,0,1192,0,denied
121,131,72,151,184,128,-1105,121,0,1185,0,denied
152,119,135,120,248,113,-1384,128,0,1601,0,denied
368,112,104,144,144,121,-1434,121,0,1536,0,denied
248,120,113,119,202,119,-1241,118,0,1346,0,denied
201,128,88,119,144,136,-1224,120,0,1297,0,denied
152,121,88,121,139,151,-1152,109,0,1288,0,denied
96,128,105,120,104,135,-1104,137,0,1160,0,denied
129,127,104,127,129,145,-1112,134,0,1216,0,denied
169,113,184,150,152,137,-1297,145,0,1407,0,denied
153,135,65,127,114,151,-1231,110,0,1336,0,denied
88,118,57,135,113,136,-1031,126,0,1103,0,denied
88,143,40,151,121,144,-1055,112,0,1103,0,denied
112,129,72,127,113,152,-1087,127,0,1167,0,denied
177,135,24,135,129,152,-1073,144,0,1097,0,denied
120,128,25,120,104,136,-983,119,0,998,0,denied
98,135,17,158,121,119,-926,126,0,967,0,denied
113,120,24,136,103,112,-927,104,0,983,0,denied
112,120,32,127,113,136,-1000,103,0,1048,0,denied
96,128,17,135,105,135,-1039,103,0,1087,0,denied
16,80,32,80,40,56,-584,96,0,648,0,denied
24,88,0,81,72,79,-608,81,0,623,0,denied
40,104,7,104,272,65,-904,96,0,968,0,denied
137,175,8,96,272,80,-1112,104,0,1152,0,denied
47,96,17,88,168,80,-815,103,0,911,0,denied
159,104,41,96,128,88,-856,63,0,961,0,denied
56,103,-8,80,96,73,-687,95,0,744,0,denied
40,96,-16,88,80,80,-728,88,0,768,0,denied
96,104,-8,96,-567,72,-96,751,0,104,0,denied
32,96,-8,80,136,88,-672,88,0,696,0,denied
56,88,-16,96,113,79,-712,72,0,800,0,denied
72,80,-40,88,88,80,-680,80,0,736,0,denied
15,81,7,89,144,96,-720,72,0,800,0,denied
47,89,-16,88,72,88,-671,72,0,775,0,denied
16,96,-16,104,72,80,-591,64,0,647,0,denied
32,104,-24,88,64,80,-608,96,0,672,0,denied
40,112,-25,113,72,80,-728,89,0,776,0,denied
40,97,-23,95,104,72,-751,95,0,808,0,denied
17,104,0,96,120,31,-728,72,0,754,0,denied
23,97,24,104,72,80,-744,104,0,824,0,denied
73,127,-16,128,64,71,-759,88,0,832,0,denied
7,80,-7,88,96,88,-672,104,0,768,0,denied
65,87,7,96,64,73,-696,88,0,744,0,denied
64,72,72,144,160,88,-936,88,0,1032,0,denied
32,104,-16,104,0,80,-656,104,0,760,0,denied
23,88,-24,121,64,80,-704,88,0,760,0,denied
63,128,-15,112,56,95,-769,81,0,833,0,denied
16,87,24,96,48,80,-672,88,0,752,0,denied
24,88,32,64,80,72,-704,96,0,776,0,denied



















































































































