@relation BillNye5Attacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
-126,290,357,139,75,140,38,86,-32,182,543,136,-118,401,0,150,0,denied
-281,135,287,292,90,115,41,79,-49,177,371,146,-81,338,0,146,0,denied
-366,151,306,383,225,130,25,73,-53,179,340,146,-114,341,0,146,0,denied
-79,225,360,134,102,129,36,92,-49,181,377,143,-109,311,0,145,0,denied
-105,252,549,122,18,107,-4,91,-65,155,605,129,-62,162,0,160,0,denied
-73,295,301,110,62,120,48,72,-78,163,277,132,-59,177,0,125,0,denied
-94,218,276,112,78,122,65,69,-46,178,316,151,-68,370,0,144,0,denied
-59,169,293,101,110,113,77,82,-63,180,563,152,-364,122,0,406,0,denied
-96,274,315,113,76,123,73,92,-46,180,290,132,-93,339,0,141,0,denied
-70,203,317,98,40,123,52,91,-45,221,510,144,-411,155,0,416,0,denied
-87,218,284,106,64,118,42,80,-64,194,301,158,-143,324,0,146,0,denied
-269,105,266,278,70,120,45,87,-57,189,280,135,-92,308,0,134,0,denied
-57,209,358,105,54,103,62,81,-38,176,265,137,-101,329,0,133,0,denied
-91,241,276,96,102,119,39,70,-58,186,323,151,-79,285,0,139,0,denied
-41,229,275,120,102,110,46,76,-59,153,353,107,-98,209,0,143,0,denied
-95,227,273,107,108,105,35,71,-57,183,311,142,-123,289,0,139,0,denied
-247,113,277,274,52,129,51,75,-66,180,453,137,-309,140,0,313,0,denied
-118,274,245,124,64,133,121,74,-37,205,220,135,-126,256,0,147,0,denied
-269,131,232,284,75,112,47,80,-51,175,249,153,-139,271,0,149,0,denied
-275,114,206,301,32,138,76,83,-77,182,220,145,-127,248,0,146,0,denied
-298,157,218,354,199,133,32,118,-56,197,377,133,-124,242,0,138,0,denied
-243,124,238,253,70,122,52,89,-48,199,218,157,-157,302,0,157,0,denied
-272,114,230,289,90,111,64,76,-62,188,228,161,-110,233,0,155,0,denied
-226,111,212,247,63,115,41,78,-78,172,239,144,-99,224,0,143,0,denied
-52,178,300,115,19,141,18,109,-75,157,331,118,-270,134,0,291,0,denied
-226,102,209,274,54,121,54,78,-91,160,85,131,-120,249,0,173,0,denied
-194,117,178,240,80,104,43,84,-93,179,272,140,-96,209,0,133,0,denied
-251,107,227,276,107,96,60,69,-72,159,242,151,-89,230,0,139,0,denied
-440,135,485,453,-7,95,61,88,-79,130,232,159,-36,193,0,175,0,denied
-88,217,312,88,-15,95,7,72,40,105,23,80,-80,177,0,95,0,denied
-87,135,136,95,24,96,-16,88,24,112,96,89,-48,87,0,128,0,denied
-88,160,128,104,0,97,8,71,40,96,112,80,-152,96,0,160,0,denied
-55,135,104,104,-24,96,0,72,16,128,1503,80,-64,145,0,96,0,denied
-96,176,128,96,23,80,0,73,15,128,175,89,-144,105,0,175,0,denied
-64,145,113,103,16,79,0,73,0,112,120,79,-145,97,0,176,0,denied
-80,168,104,96,7,97,89,72,8,135,489,80,-112,287,0,112,0,denied
-120,248,105,135,7,96,8,89,-8,96,128,88,-41,112,0,64,0,denied
-88,175,120,96,-7,96,24,71,0,105,191,64,-79,136,0,87,0,denied
-80,176,136,96,-40,96,56,88,-23,104,184,71,-64,128,0,88,0,denied
-72,176,121,103,-56,136,56,88,-56,120,160,80,-80,130,0,80,0,denied
-80,152,112,96,-24,104,7,88,-41,121,153,80,-72,136,0,96,0,denied
-56,144,112,88,-39,103,7,88,-24,121,152,88,-88,144,0,88,0,denied
-80,136,129,103,57,103,16,95,8,112,57,72,56,55,0,161,0,denied
-56,128,152,80,-48,80,96,96,-48,104,224,72,-136,88,0,152,0,denied
-64,144,120,88,-24,88,40,72,-64,128,144,88,-64,136,0,79,0,denied
-64,160,152,80,-40,96,104,88,-64,104,152,88,-81,144,0,89,0,denied
-64,144,113,95,-42,113,56,106,-80,119,152,81,-63,127,0,95,0,denied
-56,143,144,96,-16,72,40,80,-7,88,136,71,-80,128,0,104,0,denied
-71,152,112,119,-24,88,80,96,-56,104,192,72,-128,88,0,136,0,denied
-56,120,104,104,-80,112,80,112,-64,96,128,72,-64,136,0,88,0,denied
-64,120,112,96,-48,96,64,88,-56,120,136,72,-80,112,0,88,0,denied
-112,376,160,112,-16,96,48,72,-48,104,96,80,-64,112,0,80,0,denied
-73,128,120,89,-8,95,56,81,-40,112,152,71,-56,128,0,80,0,denied







































































































