@relation we707.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
% Accepted data
-80,160,312,112,32,120,0,120,0,88,0,accepted
-55,151,512,96,216,369,-7,111,0,88,0,accepted
-88,153,391,112,24,129,-23,127,0,103,0,accepted
-73,144,768,113,25,111,0,119,0,112,0,accepted
-89,192,561,104,8,119,-8,112,0,88,0,accepted
-96,184,392,104,16,120,-16,120,0,88,0,accepted
-88,176,416,96,40,120,-16,120,0,96,0,accepted
-96,185,440,120,0,120,-7,135,0,96,0,accepted
-89,169,656,112,-8,121,7,104,0,89,0,accepted
-80,159,408,105,16,96,0,119,0,88,0,accepted
-72,152,336,128,-8,112,-8,128,0,72,0,accepted
-80,168,256,96,-32,96,0,128,0,80,0,accepted
-64,152,368,104,-8,160,0,128,0,96,0,accepted
168,105,344,88,16,112,0,128,0,96,0,accepted
-64,144,311,104,-41,145,-7,136,0,96,0,accepted
-88,159,200,112,-15,168,0,127,0,81,0,accepted
-104,160,304,128,-25,129,0,129,0,79,0,accepted
-88,160,256,120,-24,128,0,129,0,79,0,accepted
-64,144,400,120,-8,120,-15,119,0,104,0,accepted
-88,168,248,112,-16,128,-16,136,0,96,0,accepted
-39,96,287,96,-15,144,0,120,0,127,0,accepted
-80,152,136,104,-24,112,-8,128,0,88,0,accepted
-72,144,335,105,-24,144,-23,136,0,79,0,accepted
-113,201,2472,137,-15,127,17,103,0,96,0,accepted
-112,176,289,135,-7,143,1,111,0,111,0,accepted
-104,168,392,144,-32,136,-8,144,0,97,0,accepted
-73,145,192,112,-32,104,-24,144,0,80,0,accepted
-104,209,231,104,7,153,-7,136,0,87,0,accepted
-80,161,328,128,-33,112,-25,153,0,88,0,accepted
-80,183,263,113,-48,144,-8,160,0,89,0,accepted
-80,160,176,104,-24,136,-7,127,0,80,0,accepted
-120,152,327,136,-15,152,0,80,0,120,0,accepted
