@relation Password!23.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute flightTime10 numeric
@attribute dwellTime10 numeric
@attribute flightTime11 numeric
@attribute dwellTime11 numeric
@attribute flightTime12 numeric
@attribute dwellTime12 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
% Accepted data
-594,94,156,644,10,160,60,120,90,60,30,80,20,100,100,73,340,80,-1743,120,130,1773,110,120,0,80,0,accepted
-400,70,215,430,110,100,71,90,90,73,70,70,10,80,80,63,611,80,-113,283,80,123,90,120,0,100,0,accepted
-393,90,160,443,40,130,80,110,100,70,50,80,-10,93,80,70,350,70,170,130,728,133,261,80,0,80,0,accepted
-490,70,113,530,-10,120,80,90,100,110,60,110,0,100,80,70,1714,73,-410,130,94,450,110,120,0,90,1,accepted
-393,70,120,443,50,140,80,90,93,70,0,80,40,70,110,70,340,60,-340,120,103,360,110,100,0,80,0,accepted
-450,90,90,463,20,119,80,100,80,80,60,80,20,70,100,70,410,103,-89,299,120,109,100,83,0,80,0,accepted
-483,70,172,503,40,100,70,90,80,80,93,70,40,100,93,70,100,81,-80,230,80,120,98,93,0,81,0,accepted
-450,70,243,480,20,120,70,100,80,70,40,90,20,90,80,80,84,90,-110,270,100,120,100,90,0,80,0,accepted
-390,80,70,410,-40,160,80,110,93,60,30,100,10,100,80,80,70,80,-90,230,150,100,100,83,0,90,0,accepted
-414,90,80,434,-20,130,65,125,80,70,30,103,30,80,90,70,230,70,-264,114,100,264,108,99,0,80,0,accepted
-513,93,120,523,110,150,70,110,100,70,40,100,35,80,90,80,90,80,-100,240,110,110,100,110,0,93,0,accepted
-420,80,70,440,0,150,60,110,103,70,50,80,0,111,70,89,70,100,-90,230,90,120,100,113,0,100,0,accepted
-80,460,103,80,-10,130,80,90,110,30,120,90,0,110,80,90,90,73,-130,280,90,130,90,90,0,90,0,accepted
-90,457,110,90,0,130,50,120,80,80,-10,103,30,90,120,90,320,60,-270,130,50,310,110,63,0,100,0,accepted
-60,370,80,70,30,123,70,100,80,70,-10,100,40,70,100,80,233,70,-319,136,60,339,110,90,0,80,0,accepted
-80,440,80,80,-10,130,70,90,83,70,60,90,10,80,70,90,60,90,-130,220,85,130,113,80,0,70,0,accepted
-432,80,80,432,0,130,60,103,77,70,50,80,0,80,80,100,50,75,-130,240,83,130,100,90,0,80,0,accepted
-60,430,70,70,-20,113,80,100,90,40,10,100,30,80,60,90,50,70,-93,193,80,113,100,90,0,77,0,accepted
-423,80,80,443,10,110,40,130,70,100,133,102,30,70,90,90,250,70,-280,140,80,320,103,70,0,90,0,accepted
-63,393,80,73,0,120,50,100,90,60,10,80,80,60,90,80,80,74,-50,200,100,90,90,100,0,70,0,accepted
-403,83,70,413,-20,140,70,80,100,70,0,90,60,70,80,100,560,63,-320,130,70,350,103,120,0,100,0,accepted
-360,80,120,360,-20,130,53,120,90,60,60,80,40,80,70,80,50,100,-80,200,94,120,90,80,0,80,0,accepted
-90,480,100,90,-20,140,60,103,80,80,10,90,40,70,90,80,60,70,-83,203,183,113,110,80,0,90,0,accepted
-70,363,70,90,-40,140,70,100,80,70,20,80,50,60,103,70,90,70,-110,250,100,120,120,80,0,80,0,accepted
-80,443,110,80,80,114,50,110,90,70,20,90,20,80,70,90,60,80,-50,205,130,130,100,121,0,90,0,accepted
-504,90,110,524,10,150,70,100,80,70,20,90,10,80,120,96,190,70,-230,110,100,260,110,100,0,90,0,accepted
-310,70,80,330,-20,150,80,93,100,60,70,90,10,100,70,80,210,70,-263,113,80,273,110,80,0,80,0,accepted
-393,80,94,403,0,110,70,90,80,60,10,100,20,80,113,90,190,80,-258,118,70,268,100,101,0,100,0,accepted
-320,80,80,350,0,130,40,110,90,93,30,90,62,90,70,70,80,70,-110,250,83,120,80,80,0,80,0,accepted
-60,360,63,60,0,140,70,90,80,80,90,100,10,60,80,80,61,60,-100,262,80,120,80,90,0,100,0,accepted
-50,415,70,60,20,140,70,100,80,60,0,80,40,73,70,90,200,80,-242,112,70,272,120,60,0,80,0,accepted
-40,370,50,70,-30,120,53,100,80,80,50,90,30,60,90,70,150,80,-230,110,70,250,110,83,0,85,0,accepted
-60,333,110,70,-24,114,60,94,70,50,20,74,50,60,73,80,30,70,-80,200,110,110,80,80,0,90,0,accepted
-438,100,40,518,0,130,60,120,90,83,20,110,0,100,100,90,190,100,-260,120,113,300,120,80,0,50,0,accepted
-49,426,100,79,-10,140,71,100,90,62,10,70,40,80,80,80,524,90,-334,120,90,344,120,110,0,102,0,accepted
-80,493,180,80,50,130,73,100,80,70,20,90,40,70,70,80,200,80,-260,120,123,280,100,120,0,110,0,accepted
-80,370,40,80,-40,150,80,93,80,60,-10,90,40,80,80,90,20,70,-110,290,123,120,100,110,0,90,0,accepted
-50,340,40,70,-40,130,63,130,85,70,0,90,40,80,90,60,30,60,-60,193,110,100,90,83,0,90,0,accepted
-703,60,110,713,410,110,70,103,70,40,10,90,30,70,80,70,-1533,60,-110,1823,93,120,110,90,0,80,0,accepted
-50,352,120,80,0,123,90,90,70,50,100,90,-20,80,90,70,233,70,-10,209,80,110,110,70,0,80,0,accepted
-513,70,90,533,190,102,70,100,80,70,10,80,20,84,70,80,60,80,-110,252,70,120,100,90,0,90,0,accepted
-50,270,80,70,0,103,60,100,150,50,280,121,30,70,100,83,50,70,-40,210,90,90,100,90,0,90,0,accepted
-60,350,90,70,-20,150,65,102,90,63,10,90,60,70,90,40,130,50,-70,200,80,120,110,93,0,100,0,accepted
-80,370,71,90,118,150,103,80,110,60,20,90,40,80,90,60,80,50,-80,210,103,90,100,90,0,90,0,accepted
-70,460,80,100,-44,114,90,114,70,50,50,90,-10,78,100,60,250,80,-90,264,110,120,111,90,0,90,0,accepted
-423,60,164,463,100,100,60,110,80,93,-10,100,40,80,100,60,220,50,-270,120,80,280,120,83,0,50,0,accepted
-40,983,120,50,-10,110,60,80,80,60,20,80,20,63,80,70,-1406,80,-64,1675,88,112,104,80,0,64,0,accepted
-57,409,96,72,60,120,60,100,73,80,10,80,20,70,80,100,70,90,-80,210,90,110,103,90,0,70,0,accepted
-50,370,50,70,-20,130,66,92,63,70,30,80,20,70,90,60,60,70,-50,170,90,90,90,90,0,64,0,accepted
-50,460,90,70,-20,90,60,90,80,60,40,80,10,70,93,90,160,90,-120,320,120,120,110,80,0,60,0,accepted
-413,80,60,423,30,130,70,100,80,70,30,70,10,70,120,83,90,140,-120,290,90,120,90,90,0,83,0,accepted
% Denied data: variations of the originals
199,697,0,-205,176,160,95,127,58,38,140,111,66,102,125,111,-1035,33,135,1071,293,368,44,54,0,59,0,denied
-694,-196,179,658,-171,83,91,123,121,105,-98,56,79,110,50,47,1039,108,-370,-392,-104,-42,53,59,0,53,0,denied
-629,-131,211,811,172,159,39,76,120,105,140,112,-15,53,48,45,1172,113,-459,-650,-153,-92,170,127,0,109,0,denied
246,744,201,764,-180,82,102,133,112,96,-72,62,67,103,52,49,1339,119,165,1158,326,403,53,60,0,108,0,denied
316,814,181,667,176,160,42,78,48,27,164,117,79,110,124,111,-703,45,-374,-405,-136,-75,159,121,0,49,0,denied
-802,-304,181,666,199,165,100,131,118,103,-71,62,-25,47,116,103,1296,118,112,1006,320,396,175,131,0,49,0,denied
-752,-254,211,810,180,161,35,72,52,31,164,117,80,111,118,106,1275,117,149,1113,-131,-70,55,61,0,111,0,denied
260,758,-17,-295,-176,82,94,126,115,100,167,118,-19,51,115,103,-923,37,-421,-541,-91,-29,38,50,0,55,0,denied
290,788,-15,-285,167,158,99,131,118,102,173,119,76,109,54,51,-708,45,137,1078,-164,-104,45,55,0,58,0,denied
283,781,195,734,-169,84,99,130,114,98,136,111,-20,50,121,108,-799,42,-372,-399,-94,-31,160,122,0,57,0,denied
155,653,1,-202,169,158,99,130,122,107,178,120,66,103,119,106,-792,42,148,1110,319,395,43,53,0,116,0,denied
275,773,194,729,-133,92,37,74,115,100,-100,55,71,105,124,111,-1082,32,-455,-638,333,409,175,130,0,118,0,denied
233,731,4,-187,-173,83,99,131,55,35,-64,63,-34,42,55,51,1364,120,-370,-394,301,376,54,60,0,110,0,denied
264,762,192,718,198,165,95,127,113,97,163,117,-17,52,124,111,-1004,34,113,1010,379,457,34,48,0,50,0,denied
-678,-180,218,847,-132,92,39,76,123,108,-62,64,-23,49,127,113,-1013,34,-406,-497,-118,-56,166,125,0,119,0,denied
-757,-259,207,794,166,158,36,72,48,27,-99,55,-32,43,49,46,1306,118,-422,-544,377,455,37,50,0,111,0,denied
-646,-148,-2,-223,166,158,94,126,116,100,166,118,-32,43,49,46,-747,44,-408,-502,-156,-96,166,126,0,59,0,denied
-671,-173,-9,-255,-128,93,38,74,119,103,-77,60,76,108,116,104,1267,117,174,1184,-79,-16,162,123,0,49,0,denied
322,820,204,780,186,162,93,124,115,99,138,111,78,109,51,48,1105,111,-385,-438,297,373,175,130,0,109,0,denied
247,745,-24,-327,200,165,31,68,121,106,-99,55,-27,46,123,109,-772,43,137,1077,-153,-93,172,129,0,55,0,denied
197,695,183,679,192,163,34,71,48,27,154,115,66,102,117,104,-844,40,94,955,-98,-35,168,126,0,52,0,denied
-632,-134,197,743,-163,85,39,75,54,34,145,113,-21,50,55,51,-805,42,107,990,306,381,174,130,0,118,0,denied
168,666,186,688,-167,84,92,124,58,38,-59,65,-17,52,119,106,1070,109,78,908,336,413,175,131,0,108,0,denied
305,803,213,820,-192,79,95,126,121,106,151,114,84,113,56,52,-857,40,-437,-586,-111,-49,55,60,0,111,0,denied
241,739,201,762,188,162,99,131,47,26,143,112,73,107,116,104,-977,35,164,1156,-125,-64,39,51,0,108,0,denied
219,717,-2,-222,-145,89,40,76,54,33,137,111,66,103,125,111,-975,35,-389,-447,-139,-78,33,48,0,118,0,denied
209,707,-13,-276,-179,82,99,130,116,100,-61,64,-32,43,50,47,-921,37,87,932,371,449,38,51,0,109,0,denied
273,771,-17,-295,-186,80,95,127,47,26,-84,59,-33,43,47,45,1316,118,118,1022,348,425,153,118,0,115,0,denied
-684,-186,-22,-318,233,172,37,73,54,33,143,112,-25,47,116,103,1147,112,81,914,-162,-102,34,48,0,113,0,denied
-755,-257,-15,-283,-131,92,31,68,59,38,-99,55,-31,44,53,50,-1094,31,-466,-671,308,384,43,54,0,113,0,denied
-682,-184,0,-208,223,170,33,70,58,38,-67,63,81,112,56,52,-909,38,131,1061,-136,-75,155,119,0,113,0,denied
304,802,184,681,-149,88,38,75,49,29,146,113,79,110,119,106,1304,118,-445,-611,360,437,156,120,0,115,0,denied
