@relation mauTest6.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute flightTime10 numeric
@attribute dwellTime10 numeric
@attribute flightTime11 numeric
@attribute dwellTime11 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
% Accepted data
-128,200,-96,208,-582,151,256,799,-64,152,-104,192,-136,168,450,200,-64,191,58,151,-759,125,0,1104,0,accepted
-111,191,-104,183,-647,151,354,735,-88,295,-87,191,-80,184,465,152,-40,183,-16,200,-776,159,0,977,0,accepted
-95,175,-128,199,-503,159,233,607,-96,192,-103,184,-135,183,351,199,-63,176,-24,184,-648,144,0,864,0,accepted
-111,168,-112,198,-568,169,554,767,-87,167,-103,151,-104,159,336,175,-103,176,-55,175,-576,176,0,624,0,accepted
-112,174,-143,200,-511,159,225,575,-87,159,-95,160,-120,167,296,184,-104,176,-48,176,-529,152,0,576,0,accepted
-120,168,-119,191,-575,143,215,648,-102,160,-88,167,-120,168,288,175,-126,216,-79,182,-535,175,0,591,0,accepted
-111,183,-120,183,-535,152,263,560,-87,160,-56,168,-103,127,279,160,-120,217,-70,175,-504,151,0,536,0,accepted
-111,159,-112,191,-431,136,225,463,-87,167,-88,152,-95,159,338,159,-103,175,-71,158,-521,152,0,578,0,accepted
-103,48,-65,208,-479,160,169,583,-96,183,-88,169,-103,152,288,151,-96,151,-56,177,-463,111,0,536,0,accepted
-127,199,-113,200,-473,137,185,488,-87,167,-86,158,-96,151,264,145,-96,176,-48,167,-448,120,0,504,0,accepted
-144,208,-104,233,-768,184,209,831,-104,168,-94,159,-103,167,328,167,-120,192,-63,160,-511,141,0,576,0,accepted
-119,181,-113,208,-513,145,218,536,-87,150,-87,159,-95,150,273,152,-102,198,-72,159,-470,144,0,510,0,accepted
-143,183,-119,215,-513,144,210,567,-88,167,-112,168,-111,168,281,167,-112,176,-79,168,-449,135,0,480,0,accepted
-119,182,-104,191,-487,143,169,544,-95,175,-103,167,-112,159,257,152,-88,168,-64,167,-464,145,0,503,0,accepted
-116,184,-119,188,-448,143,161,504,-104,184,-103,175,-103,159,250,166,-102,183,-87,166,-448,135,0,488,0,accepted
-143,191,-119,216,-487,135,176,527,-88,169,-95,167,-94,150,273,134,-103,200,-39,159,-471,119,0,519,0,accepted
-119,183,-128,207,-488,152,192,520,-111,183,-104,184,-96,160,240,152,-97,169,-79,192,-456,135,0,489,0,accepted
-47,183,-222,134,-529,248,145,593,-96,182,-88,161,-93,166,265,166,-87,151,-56,167,-407,87,0,464,0,accepted
-135,182,-136,224,-463,152,185,503,-103,183,-104,183,-103,160,297,142,-97,153,-56,169,-408,79,0,457,0,accepted
-143,190,-151,231,-496,168,177,536,-104,183,-111,192,-104,159,264,144,-88,160,-79,192,-424,111,0,463,0,accepted
-144,191,-103,201,-472,142,168,497,-104,184,-105,184,-95,161,257,152,-104,182,-64,184,-463,128,0,511,0,accepted
-135,175,-128,215,-480,152,225,520,-96,119,-96,168,-104,152,297,143,-103,177,-95,166,-448,143,0,504,0,accepted
-71,206,-214,143,-463,230,248,480,-88,176,-102,159,-88,151,281,135,-94,159,-79,198,-431,103,0,471,0,accepted
-63,183,-207,135,-415,223,168,440,-113,184,-96,169,-88,145,273,127,-95,174,-89,200,-431,104,0,488,0,accepted
-128,184,-111,192,-497,135,192,521,-96,152,-96,160,-87,143,256,136,-110,167,-97,183,-392,121,0,423,0,accepted
-71,200,-223,142,-480,240,161,504,-103,166,-87,167,-105,145,256,152,-94,151,-88,199,-440,112,0,480,0,accepted
-64,200,-224,145,-480,248,160,496,-104,183,-95,176,-111,151,305,151,-103,159,-80,200,-449,104,0,496,0,accepted
-136,183,-153,217,-512,169,151,536,-87,184,-104,168,-105,152,248,153,-87,127,-87,199,-432,135,0,456,0,accepted
-136,185,-136,224,-439,151,160,488,-97,168,-103,168,-111,159,280,151,-111,168,-96,231,-479,120,0,528,0,accepted
-56,183,-233,145,-408,257,168,432,-111,199,-120,176,-129,168,265,169,-103,199,-137,199,-462,168,0,503,0,accepted
-56,185,-223,151,-432,240,232,456,-64,87,-103,136,-103,151,257,136,-96,183,-121,192,-448,153,0,488,0,accepted
-63,205,-223,135,-488,247,161,512,-127,199,-104,176,-79,151,249,103,-119,207,-119,215,-455,151,0,479,0,accepted
-151,191,-143,239,-464,159,160,488,-120,201,-103,183,-95,151,322,127,-112,175,-103,191,-464,135,0,496,0,accepted
-137,177,-143,225,-472,158,154,496,-103,174,-112,183,-96,160,224,145,-102,167,-112,190,-423,144,0,463,0,accepted
-151,206,-152,232,-449,168,129,472,-88,167,-95,152,-105,160,248,121,-88,175,-104,169,-416,128,0,472,0,accepted
-143,189,-457,216,-142,472,129,166,-87,167,-103,159,-88,151,224,128,-104,192,-112,185,-408,143,0,433,0,accepted
-167,215,-143,247,-439,159,153,463,-95,176,-103,174,-95,143,352,135,-119,184,-64,208,-536,127,0,576,0,accepted
-320,191,-248,416,-182,263,121,207,-112,192,-103,176,-102,158,256,127,-103,199,-95,175,-463,143,0,503,0,accepted
-63,191,-448,159,-262,464,121,286,-104,184,-103,167,-87,151,327,120,-119,216,-111,191,-551,159,0,591,0,accepted
-384,191,-255,472,-169,272,136,192,-103,176,-111,183,-78,150,250,127,-112,191,-119,191,-456,167,0,480,0,accepted
-56,184,-439,182,-310,464,146,325,-87,166,-87,144,-79,135,242,127,-111,166,-104,175,-408,128,0,440,0,accepted
-151,191,-152,240,-448,168,162,471,-104,183,-112,168,-96,168,225,128,-119,191,-120,215,-410,138,0,432,0,accepted
-72,183,-392,144,-239,416,120,256,-95,175,-112,167,-96,160,217,135,-120,200,-151,216,-424,167,0,464,0,accepted
-120,175,-144,201,-463,168,137,479,-94,190,-112,159,-87,167,216,144,-111,184,-142,206,-447,167,0,471,0,accepted
-63,214,-247,168,-456,263,129,480,-97,175,-104,177,-112,160,225,143,-113,185,-112,192,-423,151,0,456,0,accepted
-136,207,-143,264,-905,159,152,961,-104,176,-112,175,-95,168,217,144,-118,174,-120,199,-1451,135,0,1476,0,accepted
-136,200,-137,232,-424,153,137,447,-96,184,-88,144,-87,151,209,135,-103,168,-120,191,-385,144,0,409,0,accepted
-63,192,-238,150,-488,263,144,504,-104,192,-111,152,-88,167,217,135,-111,176,-128,207,-425,168,0,449,0,accepted
-142,182,-136,239,-480,160,120,496,-96,176,-111,168,-95,158,209,135,-118,191,-111,190,-416,136,0,432,0,accepted
-62,202,-137,204,-532,168,141,502,-104,179,-106,159,-84,152,207,124,-124,184,-121,209,-386,154,0,421,0,accepted
% Denied data: variations of the originals
-254,131,-392,62,-836,-53,338,819,-74,233,-74,196,-62,185,366,181,-144,128,-157,146,-150,182,0,135,0,denied
27,243,40,347,-760,-1,35,205,-117,125,-119,142,-65,183,160,102,-142,130,-8,230,-145,182,0,880,0,denied
-242,136,88,378,-729,19,366,877,-72,238,-72,198,-124,134,407,197,-144,127,-24,222,-140,183,0,865,0,denied
7,235,75,369,-828,-48,40,216,-122,112,-78,191,-129,129,161,103,-64,224,-169,139,-825,90,0,897,0,denied
13,237,91,380,-726,22,-21,90,-70,242,-72,198,-65,182,404,196,-59,230,-16,226,-39,197,0,926,0,denied
16,238,-410,51,-142,423,4,143,-72,236,-122,139,-68,180,372,184,-139,134,-167,141,-912,78,0,1001,0,denied
-276,122,-392,63,-177,399,27,189,-69,245,-77,192,-70,179,373,184,-59,229,-174,136,-847,87,0,997,0,denied
43,249,-408,52,-740,12,30,195,-124,107,-70,201,-133,126,135,93,-134,140,-12,228,-164,180,0,75,0,denied
-278,121,70,366,-838,-54,349,843,-71,239,-119,142,-132,126,374,184,-146,125,-18,225,-169,179,0,180,0,denied
34,245,67,364,-755,2,388,922,-76,226,-75,195,-132,127,164,104,-135,138,-171,138,-85,190,0,880,0,denied
18,239,-409,52,-173,402,-14,104,-118,121,-120,141,-67,181,131,92,-133,141,-8,230,-95,189,0,91,0,denied
