@relation M@u123!Attacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
617,96,-2264,95,329,2312,545,103,56,151,128,128,9633,112,-536,112,0,543,0,denied
552,104,-1368,104,257,1407,257,79,47,144,72,97,1440,120,-1288,80,0,1384,0,denied
376,112,-1280,104,264,1312,480,80,-8,136,72,112,808,112,-543,128,0,583,0,denied
400,88,-1136,96,248,1168,888,80,-16,160,88,128,968,128,-520,112,0,624,0,denied
1337,103,-1704,87,801,1736,553,87,8,135,79,129,1105,112,-784,111,0,808,0,denied
432,87,-881,81,241,1104,345,87,-8,135,87,105,473,112,-409,112,0,440,0,denied
432,104,-888,112,272,912,632,80,-15,135,72,104,1616,120,-505,128,0,512,0,denied
376,96,-816,104,376,920,584,80,24,128,80,112,392,128,-112,368,0,136,0,denied
584,112,-976,128,160,1008,344,96,-16,144,96,128,872,112,-599,120,0,711,0,denied
833,104,-1224,111,227,1272,416,77,-8,128,104,112,1312,112,-496,136,0,504,0,denied
601,87,-1024,111,408,1224,961,88,-15,159,80,111,721,128,-536,103,0,584,0,denied
769,111,-1177,104,209,1216,576,104,7,152,104,121,1416,120,-1063,87,0,1696,0,denied
608,93,-1008,120,233,1047,592,104,-7,135,112,120,2024,64,-1064,120,0,1136,0,denied
448,111,-1080,120,433,1120,1105,87,8,151,80,88,192,128,-167,424,0,191,0,denied
1040,96,-1768,104,217,1815,376,88,24,128,120,96,504,136,-424,128,0,431,0,denied
1256,112,-1696,104,251,1741,496,88,8,136,80,120,440,144,-424,144,0,432,0,denied
713,96,-1112,111,224,1160,240,80,8,120,88,104,473,136,-472,135,0,512,0,denied
753,108,-1088,87,241,1192,377,79,17,135,80,112,135,136,-135,368,0,159,0,denied
1040,96,-1768,104,217,1815,376,88,24,128,120,96,504,136,-424,128,0,431,0,denied
713,96,-1112,111,224,1160,240,80,8,120,88,104,473,136,-472,135,0,512,0,denied
1337,103,-1704,87,801,1736,553,87,8,135,79,129,1105,112,-784,111,0,808,0,denied
617,96,-2264,95,329,2312,545,103,56,151,128,128,9633,112,-536,112,0,543,0,denied
448,111,-1080,120,433,1120,1105,87,8,151,80,88,192,128,-167,424,0,191,0,denied
130,80,-626,116,160,996,150,90,-90,170,-100,140,260,120,-250,120,0,290,0,denied
130,60,-640,100,252,800,220,90,-130,210,-90,170,200,120,-90,167,0,100,0,denied
250,80,-690,90,180,730,130,90,-110,170,-90,150,170,110,-90,180,0,110,0,denied
198,80,-678,120,200,698,150,90,-120,180,-90,160,90,140,-110,200,0,130,0,denied
180,70,-610,110,140,740,180,80,-130,180,-80,170,120,110,-90,190,0,130,0,denied
190,70,-1035,100,180,1155,160,80,-120,160,-80,160,-1290,100,-90,1960,0,120,0,denied
380,90,-907,100,150,997,160,70,-120,200,-100,150,160,130,-90,170,0,130,0,denied
140,90,-721,121,135,761,150,80,-110,190,-90,140,50,150,-80,160,0,120,0,denied
130,70,-630,120,110,710,163,80,-90,170,-70,120,70,130,-80,180,0,100,0,denied
110,80,150,90,-1032,90,180,1712,-110,180,-70,130,-1650,130,-90,1992,0,100,0,denied
280,80,-880,110,190,920,100,70,-90,160,-80,120,120,120,-110,180,0,130,0,denied
90,70,-650,110,200,690,150,70,-110,160,-90,150,80,130,-110,190,0,120,0,denied
140,70,-720,100,160,880,210,61,-110,200,-81,151,130,122,-100,200,0,120,0,denied
120,70,-650,100,120,790,202,70,-100,160,-70,130,90,110,-80,160,0,120,0,denied
111,70,-641,100,90,821,230,80,-100,200,-70,130,50,130,-100,200,0,120,0,denied
90,50,-590,100,160,670,130,70,-120,170,-60,150,90,100,-100,170,0,120,0,denied
