@relation ChrisAttacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
-139,355,504,177,33,113,41,110,128,116,506,149,-2,220,0,142,0,denied
-107,290,383,195,31,99,14,115,60,99,481,141,-61,275,0,156,0,denied
-48,192,360,231,54,100,32,103,48,102,981,162,-99,287,0,131,0,denied
-100,216,248,183,13,99,-31,110,47,117,359,130,-95,277,0,148,0,denied
-57,166,203,160,19,104,-3,113,120,104,561,145,-111,308,0,146,0,denied
-90,184,261,157,3,104,-14,104,22,118,336,153,-100,317,0,171,0,denied
-56,184,204,147,-4,93,-14,111,74,91,323,133,-115,337,0,163,0,denied
-44,149,181,151,-1,89,-8,112,75,90,512,150,-341,142,0,350,0,denied
-58,173,198,160,-10,94,-14,119,56,92,337,143,-131,301,0,145,0,denied
-98,243,441,149,19,92,-14,97,45,104,606,149,-360,156,0,461,0,denied
-135,279,373,151,9,86,-21,121,62,103,309,165,-125,313,0,170,0,denied
-77,192,236,134,-2,89,-2,106,62,76,274,159,-102,295,0,148,0,denied
-70,168,212,141,18,87,-30,105,84,90,279,123,-94,266,0,157,0,denied
-55,165,173,153,-6,103,6,104,96,68,365,127,-105,261,0,143,0,denied
-97,216,228,150,-3,97,-16,111,48,112,347,149,-106,309,0,156,0,denied
-74,193,214,166,-5,86,-14,111,81,88,326,143,-89,287,0,158,0,denied
-98,214,232,157,-12,96,-25,113,64,105,352,132,-81,286,0,145,0,denied
-67,166,167,154,14,97,-33,112,62,91,292,137,-109,300,0,153,0,denied
-84,192,177,164,-6,97,-35,117,82,96,287,132,-113,288,0,180,0,denied
-63,187,186,147,-2,101,-10,104,57,94,351,142,-88,274,0,147,0,denied
-110,228,207,162,9,101,-15,106,68,94,309,144,-101,343,0,144,0,denied
-101,221,194,164,-11,110,-19,105,80,92,368,141,-101,277,0,152,0,denied
-79,198,206,143,4,90,-12,119,37,109,314,159,-121,286,0,164,0,denied
-93,199,184,160,-12,101,-16,116,75,93,337,133,-77,280,0,186,0,denied
-89,223,222,182,32,73,-35,125,84,76,290,144,-80,256,0,135,0,denied
-60,171,185,150,22,107,9,133,83,62,350,155,-28,210,0,160,0,denied
-47,161,198,149,-5,129,-23,119,66,80,362,140,-52,219,0,154,0,denied
-41,150,149,161,14,97,-22,113,48,89,318,141,-84,252,0,174,0,denied
-44,148,152,155,3,116,-20,121,79,72,384,132,-95,273,0,152,0,denied
-50,164,267,146,-19,111,-7,115,64,83,335,154,-97,240,0,158,0,denied
-125,270,376,191,-24,127,-24,152,17,120,585,135,-497,168,0,536,0,denied
-96,223,369,184,-24,112,-15,142,17,128,785,160,-336,182,0,351,0,denied
-73,199,177,160,-24,119,-32,144,24,137,767,159,-144,297,0,168,0,denied
-57,168,129,168,-24,88,-24,120,24,127,359,169,-111,256,0,152,0,denied
-56,143,121,185,-23,103,-24,135,40,95,464,153,-360,159,0,384,0,denied
-70,176,153,150,-14,102,-23,118,17,103,273,160,-159,319,0,175,0,denied
-56,158,98,168,-15,102,-31,128,47,103,248,169,-119,279,0,159,0,denied
-80,183,129,160,-14,95,-39,127,40,102,248,169,-160,320,0,175,0,denied
-65,161,122,167,-24,111,-24,128,16,104,392,168,-297,152,0,320,0,denied
-80,169,129,159,-23,103,-22,111,25,109,248,168,-136,280,0,152,0,denied
-64,176,95,176,-24,121,-31,120,48,103,488,168,-367,167,0,416,0,denied
-72,168,152,161,-31,111,-25,128,25,103,252,191,-177,326,0,192,0,denied
-95,223,176,176,-24,112,-24,129,32,118,448,176,-303,152,0,319,0,denied
-103,207,161,175,-23,120,-39,126,24,127,504,177,-417,169,0,440,0,denied
-40,150,137,161,24,96,-31,111,33,110,265,176,-150,311,0,166,0,denied
-64,176,155,167,-24,109,-40,145,47,96,441,160,-325,150,0,350,0,denied
-49,161,90,151,23,104,-47,104,56,95,419,150,-319,142,0,343,0,denied
-95,191,96,191,-48,121,-15,136,42,86,411,158,-303,149,0,327,0,denied
-71,168,144,150,-15,104,-38,135,25,111,504,159,-312,128,0,328,0,denied
-137,263,248,177,-14,118,-23,152,17,142,280,160,-135,447,0,151,0,denied
-65,178,128,168,24,104,-24,103,33,97,447,159,-112,337,0,152,0,denied
-64,168,128,176,24,112,-39,96,33,143,240,175,-134,287,0,159,0,denied
