@relation qwe123Attacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
-70,143,-58,167,207,132,-64,134,-44,136,0,119,0,denied
-116,195,-39,158,102,126,-70,148,-59,134,0,137,0,denied
-65,152,-50,139,95,116,-77,179,-73,138,0,161,0,denied
-79,179,-52,142,136,127,-72,130,-68,143,0,139,0,denied
-83,175,-57,156,130,134,-74,136,-65,141,0,146,0,denied
-70,173,-67,155,130,136,-74,133,-67,139,0,147,0,denied
-71,174,-60,150,138,138,-63,117,-59,144,0,145,0,denied
-62,173,-57,136,144,144,-57,114,-52,139,0,143,0,denied
-79,152,-52,150,119,128,-67,119,-54,138,0,131,0,denied
-71,181,-62,150,101,145,-76,135,-61,143,0,132,0,denied
-89,185,-45,156,60,133,-62,156,-42,123,0,103,0,denied
-74,164,-62,139,82,129,-61,142,-76,133,0,132,0,denied
-62,156,-70,139,72,136,-64,151,-68,130,0,130,0,denied
-59,148,-63,136,99,119,-62,123,-56,125,0,122,0,denied
-59,155,-46,126,94,106,-69,133,-53,132,0,117,0,denied
-73,154,-38,139,68,92,-58,134,-56,116,0,128,0,denied
-85,156,-48,159,81,91,-48,133,-44,105,0,113,0,denied
-73,168,-59,136,75,133,-59,134,-72,133,0,122,0,denied
-79,161,-44,139,75,108,-71,149,-58,124,0,119,0,denied
-67,152,-54,137,103,131,-58,120,-51,121,0,124,0,denied
-55,150,-43,114,71,101,-48,132,-47,111,0,110,0,denied
-140,212,-46,224,75,126,-54,128,-65,116,0,137,0,denied
-80,171,-67,142,68,134,-66,145,-64,127,0,129,0,denied
-94,184,-68,147,72,138,-53,140,-63,113,0,136,0,denied
-69,180,-43,125,77,108,-52,138,-55,109,0,120,0,denied
-83,173,-43,148,69,121,-68,154,-64,130,0,129,0,denied
-72,166,-49,143,71,118,-49,143,-60,111,0,119,0,denied
-85,169,-48,139,69,113,-65,152,-58,120,0,118,0,denied
-91,185,-50,142,88,117,-56,137,-44,118,0,111,0,denied
-85,172,-48,131,71,116,-51,130,-44,111,0,105,0,denied
16,136,72,128,912,184,-32,176,80,120,0,112,0,denied
8,120,-32,200,152,136,-48,160,-55,207,0,128,0,denied
-64,176,96,152,264,112,-72,216,80,144,0,120,0,denied
-56,192,-32,208,248,120,-56,160,-56,240,0,112,0,denied
-72,192,-32,216,152,128,-64,176,-56,240,0,128,0,denied
-48,183,-32,192,144,144,-79,192,-80,239,0,136,0,denied
-71,199,-31,223,168,143,-95,208,-95,231,0,151,0,denied
-71,159,-41,217,96,143,-111,200,-88,239,0,144,0,denied
-79,199,-48,231,145,112,-112,200,-79,231,0,127,0,denied
-72,184,-87,239,129,167,-135,223,-95,223,0,143,0,denied
-72,200,-80,176,96,159,-113,217,-87,216,0,135,0,denied
-80,216,-64,216,105,143,-128,216,-80,216,0,128,0,denied
-80,200,-72,184,80,152,-128,224,-72,224,0,128,0,denied
-80,184,-64,200,136,128,-112,216,-80,232,0,136,0,denied
-112,224,-56,184,117,155,-112,200,-96,232,0,152,0,denied
-72,216,-64,184,104,136,-119,224,-96,207,0,147,0,denied
-79,183,-48,215,96,128,-152,216,-88,248,0,144,0,denied
-87,175,-48,231,104,144,-143,208,-96,247,0,144,0,denied
-87,208,-56,151,80,136,-154,203,-95,231,0,167,0,denied
-103,199,-71,167,89,159,-135,199,-87,207,0,143,0,denied
-89,208,-56,152,97,120,-127,239,-79,199,0,135,0,denied
-96,216,-48,176,433,135,-120,192,-88,216,0,135,0,denied
-96,176,-64,176,120,144,-144,208,-80,208,0,127,0,denied
-152,224,-88,216,144,160,-144,192,-96,200,0,152,0,denied
-88,200,-72,152,120,128,-136,184,-112,224,0,144,0,denied











































































































