@relation freddy77Attacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
104,79,-55,193,196,128,96,82,90,159,259,86,88,66,0,73,0,denied
107,74,-64,154,128,132,106,65,335,123,207,97,100,58,0,66,0,denied
105,69,-60,149,127,116,98,59,38,144,206,107,96,58,0,61,0,denied
112,80,-54,143,120,110,90,69,24,144,172,88,103,63,0,64,0,denied
103,71,-60,150,131,114,101,41,41,113,207,74,95,13,0,76,0,denied
93,69,-59,144,120,111,90,70,50,133,145,84,95,59,0,58,0,denied
102,75,-63,136,121,106,98,59,30,134,127,86,90,59,0,74,0,denied
113,88,-56,174,118,125,103,67,52,127,130,79,86,58,0,64,0,denied
102,65,-57,166,119,101,97,65,252,141,161,82,95,53,0,61,0,denied
101,75,-59,140,132,116,94,74,74,119,140,90,79,60,0,67,0,denied
106,56,-61,134,137,119,94,52,105,124,181,93,96,57,0,68,0,denied
98,82,-73,149,128,108,87,53,36,128,115,91,77,66,0,77,0,denied
81,67,-60,149,132,104,108,45,76,82,113,87,93,64,0,58,0,denied
99,94,-56,147,135,96,93,51,61,136,146,72,84,56,0,71,0,denied
92,111,-51,143,121,99,93,59,26,124,118,80,93,63,0,62,0,denied
90,89,-65,162,135,118,108,46,67,108,119,86,95,52,0,64,0,denied
119,48,-69,177,121,120,109,53,99,90,135,78,84,55,0,72,0,denied
100,88,-66,168,118,108,105,63,91,105,130,78,93,55,0,58,0,denied
90,98,-71,177,134,111,107,47,98,98,126,67,86,57,0,77,0,denied
97,88,-52,162,126,93,105,49,48,108,116,71,88,54,0,80,0,denied
86,81,-63,176,134,111,92,44,17,129,131,74,87,49,0,69,0,denied
90,95,-49,144,134,107,87,42,96,115,114,78,82,56,0,76,0,denied
98,93,-61,151,129,103,96,47,36,120,118,82,85,65,0,71,0,denied
118,99,-68,148,129,110,98,57,27,117,138,82,94,49,0,58,0,denied
117,82,-56,154,134,115,101,39,70,111,145,75,86,46,0,66,0,denied
73,89,-52,152,131,104,102,53,104,123,129,83,85,54,0,63,0,denied
200,105,-67,166,129,116,110,71,110,121,150,75,91,49,0,69,0,denied
103,65,-67,145,129,113,100,49,40,108,125,77,92,56,0,59,0,denied
96,101,-55,143,123,105,91,66,36,94,122,66,93,60,0,61,0,denied
100,65,-60,140,120,104,92,52,0,116,108,75,880,61,0,33,0,denied
168,64,96,96,144,136,80,64,16,152,1169,88,296,119,0,88,0,denied
88,104,-24,160,104,128,72,72,-24,128,840,112,72,72,0,88,0,denied
72,103,-48,176,112,120,73,80,-16,135,392,120,104,72,0,80,0,denied
72,104,-88,216,112,136,65,80,16,135,681,144,80,63,0,64,0,denied
88,95,-71,192,128,127,80,72,-8,136,728,72,80,56,0,72,0,denied
95,120,-63,200,137,127,64,72,1,127,721,95,88,63,0,56,0,denied
97,95,-55,175,137,143,65,87,25,127,528,104,88,72,0,64,0,denied
104,96,24,136,112,136,72,72,16,120,480,112,81,79,0,56,0,denied
88,96,-72,176,120,135,79,89,16,128,472,129,88,72,0,64,0,denied
80,96,-88,192,128,136,72,80,8,136,608,128,80,80,0,88,0,denied
104,104,-72,192,128,152,80,72,-16,144,504,136,72,72,0,80,0,denied
72,104,-88,192,128,152,64,88,8,120,1202,112,72,62,0,72,1,denied
128,127,0,177,169,135,72,71,-15,144,664,119,81,48,0,87,0,denied
112,111,76,157,133,115,73,71,16,103,777,104,73,71,0,103,0,denied
80,104,-55,175,97,119,72,88,-15,119,600,144,64,56,0,96,0,denied
104,96,-48,176,112,144,64,96,72,144,1176,96,80,56,0,80,1,denied
80,104,-80,200,152,128,128,112,256,120,520,112,80,64,0,80,0,denied
88,104,40,144,144,88,80,96,-16,112,440,128,80,64,0,80,0,denied
88,103,-25,169,168,144,56,104,-48,144,928,96,72,72,0,88,1,denied
104,135,136,128,145,128,72,79,40,136,577,120,80,71,0,72,0,denied
104,119,-7,144,129,135,73,79,8,135,417,105,72,79,0,87,0,denied
105,127,104,112,152,136,71,72,40,129,456,112,73,79,0,103,0,denied
96,104,64,152,136,104,64,88,24,120,376,128,80,64,0,72,0,denied
88,88,-56,184,128,128,56,88,8,136,576,88,72,88,0,96,0,denied
104,80,-7,159,449,136,72,95,-8,128,408,128,80,72,0,96,0,denied











































































































