@relation helloworld.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied,attackerHumanMade}

@data
% Accepted data
40,96,8,112,40,96,88,96,64,96,224,72,16,112,24,88,8,88,0,72,0,accepted
0,96,40,104,72,72,72,64,168,88,32,88,8,96,24,88,16,80,0,73,0,accepted
0,96,32,112,80,80,88,56,0,81,24,95,-8,96,32,96,16,72,0,80,0,accepted
176,88,24,72,48,80,64,88,8,96,40,96,8,104,24,88,24,72,0,80,0,accepted
0,104,0,120,64,88,80,72,16,80,32,96,16,88,8,88,24,88,0,72,0,accepted
24,88,0,104,57,79,112,96,72,88,47,128,8,112,7,113,24,89,0,80,0,accepted
40,72,8,88,760,96,113,96,289,71,0,88,16,103,16,96,24,80,0,104,0,accepted
0,80,32,104,56,88,80,64,24,96,8,104,40,96,8,80,32,80,0,64,0,accepted
56,88,8,80,48,96,88,80,16,96,0,112,24,88,16,96,32,80,0,80,0,accepted
-32,120,-16,120,72,88,80,80,16,96,0,104,-8,88,16,96,32,72,0,72,0,accepted
24,88,15,96,56,81,81,79,-7,71,17,103,-16,80,55,80,9,72,0,63,0,accepted
-8,112,88,88,56,72,81,72,-8,79,16,96,0,89,88,79,16,72,0,64,0,accepted
32,112,15,89,56,80,72,80,-16,88,24,96,-8,81,24,96,32,80,0,72,0,accepted
8,96,24,88,64,80,80,80,-24,88,24,104,-8,88,64,72,0,72,0,80,0,accepted
33,103,-16,88,88,72,97,55,-8,80,33,95,16,80,32,80,55,56,0,57,0,accepted
24,87,41,88,56,87,80,80,-15,96,16,103,-8,112,24,96,-8,104,0,72,0,accepted
16,96,-7,120,48,79,96,88,8,96,0,104,0,96,8,96,8,88,0,88,0,accepted
16,96,24,88,64,80,72,72,-32,96,39,112,16,105,16,88,24,104,0,56,0,accepted
-32,128,32,111,65,80,88,88,41,95,1,95,232,111,8,96,16,112,0,56,0,accepted
-16,136,33,96,65,87,96,63,16,72,8,104,8,80,24,88,24,80,0,80,0,accepted
-40,136,16,104,80,80,88,56,-8,72,0,104,8,96,23,89,24,64,0,56,0,accepted
56,80,-16,88,64,80,80,72,-32,80,8,120,0,88,24,72,24,72,0,72,0,accepted
0,104,-16,104,56,88,88,88,24,96,0,104,16,104,56,88,16,96,0,72,0,accepted
1,96,0,111,56,88,80,80,8,96,8,96,24,104,40,80,16,64,0,72,0,accepted
-16,128,-7,95,56,96,65,71,1,103,0,88,0,96,32,88,8,72,0,72,0,accepted
0,119,0,105,72,87,79,65,-16,81,48,79,-16,105,56,87,0,73,0,79,0,accepted
