@relation helloworldAttacker1.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
48,135,72,112,73,79,185,104,112,63,24,128,65,88,25,127,16,119,0,160,0,denied
-15,118,47,97,64,72,96,81,81,71,17,103,497,95,16,159,24,97,0,143,0,denied
16,88,48,103,64,72,104,80,200,96,56,152,233,120,17,151,24,104,0,159,0,denied
15,98,40,95,64,65,97,87,226,86,17,119,16,96,26,118,16,96,0,175,0,denied
-23,110,25,128,81,47,96,80,136,103,144,200,24,88,-14,151,24,103,0,176,0,denied
-15,118,40,128,57,64,121,103,218,78,25,95,-22,95,25,118,-40,127,0,169,0,denied
24,112,16,104,65,71,129,87,33,103,41,135,128,159,113,208,25,95,0,166,0,denied
215,89,80,136,73,64,112,87,113,80,137,135,242,167,58,166,23,103,0,177,0,denied
-14,121,24,135,80,64,111,96,96,96,-16,129,104,119,17,168,40,87,0,177,0,denied
-25,137,33,127,72,71,120,72,105,56,-23,159,24,95,25,128,32,63,0,168,0,denied
33,79,25,111,81,47,129,79,96,96,64,175,16,88,-15,136,24,95,0,161,0,denied
-24,119,24,136,56,71,121,96,113,103,25,102,25,80,20,99,17,80,0,168,0,denied
17,120,40,111,64,72,121,79,145,71,-16,104,15,96,25,95,25,72,0,167,0,denied
-15,104,33,127,49,79,136,63,56,81,104,153,17,94,24,111,25,72,0,151,0,denied
-16,113,32,120,96,72,121,88,32,63,24,120,24,71,24,105,24,63,0,169,0,denied
25,119,33,111,79,64,113,80,15,80,24,112,-15,64,24,120,17,80,0,142,0,denied
24,120,49,104,73,71,127,95,49,64,-15,119,17,79,-23,127,32,87,0,160,0,denied
-32,127,25,128,79,71,129,80,64,87,16,97,32,71,-23,136,49,87,0,151,0,denied
23,97,25,111,57,71,120,88,58,87,25,111,24,63,26,95,41,55,0,174,0,denied
17,127,56,86,63,74,122,87,33,95,25,134,25,71,-24,120,33,87,0,160,0,denied
-16,119,55,120,65,64,121,72,32,63,20,104,16,52,16,104,41,55,0,153,0,denied
17,112,40,104,72,71,137,65,56,79,-15,119,-23,87,41,119,17,71,0,152,0,denied
-14,126,16,127,57,72,130,87,80,78,-24,105,18,94,24,111,41,71,0,159,0,denied
24,95,48,96,64,64,129,72,24,63,-15,128,-16,95,24,112,40,56,0,169,0,denied
25,110,24,112,50,79,120,95,25,95,-15,111,-17,96,16,121,24,88,0,152,0,denied
16,113,41,103,66,71,120,94,56,64,-24,112,25,88,-16,119,64,72,0,152,0,denied
25,102,25,119,72,63,112,96,25,79,16,112,24,72,25,104,33,63,0,167,0,denied
32,95,47,112,64,65,128,80,32,72,-16,128,17,71,-14,128,49,78,0,159,0,denied
24,96,33,111,73,62,112,73,24,63,-14,112,-23,102,16,111,34,72,0,150,0,denied
24,112,23,120,65,72,129,71,25,64,-25,111,17,96,-15,103,34,94,0,167,0,denied
592,119,72,112,89,80,97,71,136,95,-39,176,-48,119,1649,144,-15,87,0,135,2,denied
17,103,32,119,72,65,96,72,17,87,585,119,-16,88,232,120,-15,119,0,135,0,denied
16,112,24,96,72,64,88,72,264,96,-80,184,-24,104,208,152,-1,113,0,144,0,denied
-1,89,17,127,72,80,88,64,176,96,-39,175,-7,103,8,128,16,104,0,128,0,denied
-26,114,32,128,80,64,80,80,176,104,-48,208,0,128,16,120,80,112,0,128,0,denied
-8,112,32,128,88,64,99,64,-16,109,1376,104,-40,96,32,128,-8,104,0,136,3,denied
-1,89,24,112,80,80,80,64,-8,120,1376,112,577,120,-8,127,24,96,0,136,3,denied
24,96,24,120,82,64,81,78,1,104,456,94,16,80,80,128,8,144,0,144,0,denied
-7,103,8,143,80,80,89,64,17,111,1328,80,-39,103,33,127,0,72,0,144,3,denied
15,112,56,121,73,71,89,71,24,112,344,88,104,104,248,112,8,96,0,152,0,denied
-40,120,41,127,81,55,88,80,192,96,16,160,-31,111,32,152,345,47,0,207,1,denied
1120,128,88,144,80,72,72,64,-16,136,224,104,1112,72,-8,120,48,88,0,136,3,denied
24,120,48,104,89,72,80,71,960,104,-48,152,0,88,-1,129,16,104,0,136,1,denied
-8,120,40,96,80,64,74,86,-24,104,432,136,16,96,-32,136,48,112,0,144,0,denied
-8,119,48,96,80,72,64,104,8,120,112,144,24,112,88,112,24,112,0,112,0,denied
8,103,16,112,32,96,793,96,361,111,-31,175,48,87,8,112,40,112,0,144,1,denied
0,96,47,96,81,56,73,87,-15,119,496,136,48,96,-15,127,40,96,0,135,0,denied
1136,104,56,120,72,88,72,72,168,120,-72,200,-39,103,32,152,-15,103,0,144,3,denied
8,112,40,96,88,72,88,64,-8,104,600,72,1240,88,-16,128,8,96,0,120,3,denied
1024,120,112,136,96,72,176,64,344,128,-56,176,-16,88,8,128,-8,104,0,136,3,denied
-8,104,48,128,80,56,73,88,264,119,-79,184,0,103,8,112,-1,97,0,144,0,denied
1009,111,64,135,81,80,96,55,256,104,-63,176,-15,111,8,111,-8,96,0,136,3,denied
992,119,48,104,97,72,81,47,49,111,489,103,25,111,7,120,32,88,0,120,3,denied
824,112,56,120,94,74,64,56,480,96,-39,167,-25,97,25,111,-23,111,0,136,2,denied
-24,112,39,113,72,72,88,96,216,112,-39,143,-16,104,16,120,-7,103,0,128,0,denied











































































































