@relation thisisjustaverylongpassword.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute flightTime10 numeric
@attribute dwellTime10 numeric
@attribute flightTime11 numeric
@attribute dwellTime11 numeric
@attribute flightTime12 numeric
@attribute dwellTime12 numeric
@attribute flightTime13 numeric
@attribute dwellTime13 numeric
@attribute flightTime14 numeric
@attribute dwellTime14 numeric
@attribute flightTime15 numeric
@attribute dwellTime15 numeric
@attribute flightTime16 numeric
@attribute dwellTime16 numeric
@attribute flightTime17 numeric
@attribute dwellTime17 numeric
@attribute flightTime18 numeric
@attribute dwellTime18 numeric
@attribute flightTime19 numeric
@attribute dwellTime19 numeric
@attribute flightTime20 numeric
@attribute dwellTime20 numeric
@attribute flightTime21 numeric
@attribute dwellTime21 numeric
@attribute flightTime22 numeric
@attribute dwellTime22 numeric
@attribute flightTime23 numeric
@attribute dwellTime23 numeric
@attribute flightTime24 numeric
@attribute dwellTime24 numeric
@attribute flightTime25 numeric
@attribute dwellTime25 numeric
@attribute flightTime26 numeric
@attribute dwellTime26 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
-63,119,-57,152,24,120,153,88,-6,111,169,94,96,96,-7,95,56,103,25,96,336,128,457,119,-23,63,225,111,160,96,72,96,39,96,-15,104,161,87,-7,119,64,128,72,72,200,96,1320,160,-15,103,96,96,0,112,2,accepted
-31,95,-71,143,-15,127,128,104,-27,107,256,128,88,88,-32,104,96,120,352,96,464,120,104,96,-34,114,88,128,200,112,72,96,48,96,320,112,152,104,8,88,88,112,80,64,136,104,1056,144,-16,88,96,104,0,104,2,accepted
-24,104,-24,112,-24,96,136,104,-8,112,128,104,112,72,-32,88,64,80,144,104,512,152,64,104,-48,120,248,128,128,96,88,80,40,88,-16,128,272,120,-8,120,96,128,72,80,168,112,-8,144,8,104,96,120,0,120,0,accepted
-26,114,-48,136,16,120,192,88,-7,112,104,103,104,88,-31,96,64,103,64,80,609,120,49,135,-32,119,56,120,321,112,81,103,40,111,-16,128,128,112,8,72,72,120,81,64,120,71,88,144,-31,104,112,111,0,96,0,accepted
-31,111,-25,137,-7,111,577,95,16,87,72,104,96,96,-32,97,56,87,96,112,416,152,80,120,-32,120,64,120,120,104,73,88,48,95,-31,104,353,95,-8,95,88,112,81,80,169,63,7,128,-32,105,105,103,0,95,0,accepted
-23,135,-7,119,17,111,96,88,-7,119,193,87,97,95,-23,95,49,95,57,103,736,136,80,104,-40,136,272,128,104,48,64,104,0,104,160,112,24,72,104,128,80,64,126,82,-23,143,-31,103,113,103,0,104,0,accepted
-40,136,-72,152,-24,128,96,112,-7,111,144,96,104,80,-40,104,96,88,112,88,376,160,56,104,-48,144,8,136,144,96,72,96,-24,120,-40,128,216,104,-24,96,56,136,72,80,112,80,40,128,-48,120,112,104,0,112,0,accepted
-48,120,-32,128,-16,120,128,112,-16,112,144,112,112,96,40,96,280,96,88,104,184,136,88,80,-48,120,64,128,248,88,88,88,72,88,-8,104,200,104,16,64,72,128,64,80,128,96,-48,152,-40,128,96,112,0,88,0,accepted
-56,120,-31,160,545,143,161,111,8,87,136,104,104,88,-48,88,64,104,104,96,136,112,105,72,-40,95,48,128,248,96,88,80,49,112,-64,119,64,112,40,72,72,152,72,80,112,104,-15,152,-32,95,96,128,0,104,0,accepted
